"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","RTX"
"T+11",-0.000445607388492384,0.000839607765949094,-0.000274781665189028,0.000605255196649883,0.00151086777634574,0.000108928387719639,0.00445931237764523,0.00170389381710215,0.000751178277296914,0.000878790745352337,0.00120873260923556,0.000744829047367638,0.000389911519017258,0.00171923415206601,0.000473487965060403,0.000640928984579853,0.00082369220020523,-0.00163638718884281,0.00346736672122658,0.000896803952072813,-0.000951848906229091,0.00173145898441539,0.00499516201717441,0.00133982341330097,0.00134246861881064,0.00305793971615274,0.000794943889160581,-0.00102128977230218,0.000163270925114263,0.000510017325739975
"T+12",-0.000445642993995655,0.000874667421787807,-0.000584576962507466,0.000538456394749728,0.00151062784087801,6.20908709125316e-05,0.00428469404290376,0.0017047319544135,0.000751916529675476,0.000781192598205439,0.00120725951607185,0.000746328939120111,0.000893899504098621,0.00176119151007365,0.000473523390893213,0.00064094104611475,0.000647751294357942,0.000925076861417204,-0.00235730911095057,-0.00174713618892537,-0.000967712965213764,0.00173271796197354,0.00486769994529361,0.00133750346213301,0.00136846260593274,0.00305791809438493,0.000794239606823721,-0.00102185986581032,0.000173068225239388,0.000509461753603082
"T+13",-0.000445645978886058,0.000900466275647244,-0.000356358940821259,0.000579396940206174,0.0015105424108255,2.38108962178492e-05,0.00411884316567005,0.00170522633593431,0.000752397711192264,0.00085663133118784,0.00120791040865301,0.000738999906252738,0.00045807946597245,0.00179332695570532,0.000473487085892862,0.000640937029775851,0.000782077519349137,-0.00107679585390252,0.00264587373975252,0.000634841823153024,-0.000960066111903632,0.00173215355392464,0.00474412168653813,0.00133564047202305,0.00138590308282284,0.00305791021579098,0.000794585540404104,-0.0010221019302697,0.000179198752950523,0.000509175889013376
"T+14",-0.000445643988581896,0.000919450513927347,-0.000524481209434307,0.000554304838261462,0.00151051199595399,-7.47505919898518e-06,0.0039613195383911,0.00170551650422586,0.000752711337885278,0.000798320771419962,0.00120762280895286,0.000746113777667541,0.00083495174621968,0.00181793972721869,0.000473492746429855,0.000640938367166004,0.000679519566263257,0.000487736313085751,-0.00165167611852168,-0.00151112933009804,-0.000963742884837997,0.00173240613378967,0.00462430889978779,0.001334144435297,0.00139760464413875,0.0030579095955904,0.000794415622693872,-0.00102220471200786,0.000183034907253108,0.00050902879998889
"T+15",-0.000445642977884524,0.000933420177271283,-0.00040062992886516,0.000569683584079699,0.00151050116807839,-3.30448516073979e-05,0.00381170505600248,0.00170568713040518,0.000752915754927786,0.000843392066584453,0.00120774988612338,0.000740885962021429,0.000509054121926142,0.00183679082791643,0.000473487661837074,0.000640937921831965,0.00075782346207431,-0.000734999103571128,0.00203976112552627,0.000422218572517824,-0.000961972254107769,0.00173229299442439,0.00450814684981679,0.00133294307310312,0.00140545572172641,0.00305791004956037,0.000794499083883788,-0.00102224835363003,0.00018543537833009,0.000508953116669222
"T+16",-0.000445642771325072,0.000943699836168498,-0.000491867932089038,0.000560258078423628,0.00151049731336074,-5.39428639934158e-05,0.00366960260618543,0.00170578739295548,0.000753048990804063,0.000808554094550222,0.00120769373652636,0.000744234309961376,0.00079087177478439,0.00185122902303489,0.00047348855003869,0.000640938070122579,0.000698037466225655,0.000220610435003846,-0.00113104764634521,-0.00131957283381457,-0.000962824110291014,0.00173234364808725,0.0043955242974211,0.00133197834336368,0.00141072334521898,0.00305791023720083,0.000794458088920917,-0.00102226688407346,0.000186937474037388,0.000508914174505482
"T+17",-0.000445642781937212,0.000951264183600604,-0.000424655278787825,0.000566034893140695,0.00151049594109451,-7.1022663262434e-05,0.00353463501533713,0.00170584632413557,0.000753135831893777,0.000835482193496097,0.00120771854646848,0.000742281490319329,0.000547171963761627,0.00186228734167746,0.000473487835763297,0.000640938020743676,0.000743684897936911,-0.000526231090896007,0.00159256043078264,0.000249641532169357,-0.000962414030225492,0.00173232096386433,0.00428633339289345,0.00133120363655596,0.00141425761894761,0.0030579102569362,0.000794478225070216,-0.00102227475218919,0.000187877411514563,0.000508894137169337
"T+18",-0.000445642804002255,0.000956830453128197,-0.000474169084556738,0.0005624943311206,0.00151049545257419,-8.49818636725712e-05,0.00340644404746256,0.0017058809586496,0.000753192433576997,0.000814668051037633,0.00120770758408833,0.000743334915080609,0.000757909642146857,0.0018707569883471,0.000473487973234491,0.000640938037186227,0.000708832431092452,5.74510945170807e-05,-0.000746918701040795,-0.00116409476108915,-0.000962611366126422,0.00173233112109394,0.00418046957274419,0.00133058152384045,0.00141662891423978,0.00305791024762406,0.000794468334476831,-0.0010222780930291,0.000188465578175045,0.000508883827140277
"T+19",-0.000445642811384277,0.000960926425283349,-0.000437693557398532,0.000564664312353534,0.00151049527866353,-9.63906204747569e-05,0.00328468945333124,0.00170590131448574,0.000753229325681344,0.000830756395304265,0.00120771242786338,0.000742808521032999,0.000575675733533388,0.00187724395232663,0.000473487872605853,0.000640938031711065,0.000735442794725118,-0.000398716488037027,0.00126260779990819,0.000109568257936373,-0.000962516382980937,0.00173232657268551,0.00407783145956916,0.00133008194874063,0.00141821991759562,0.00305791024320414,0.000794473192597222,-0.00102227951156586,0.000188833623974538,0.000508878522208602
"T+20",-0.000445642812234466,0.000963940470473331,-0.000464564125332461,0.000563334348773482,0.00151049521675229,-0.000105714917565362,0.00316904806737503,0.00170591327811222,0.000753253371386096,0.000818320868750194,0.00120771028762044,0.000743049397196008,0.000733261209955956,0.0018822123652148,0.000473487893657562,0.000640938033534225,0.000715125394399449,-4.22059270670686e-05,-0.000463501530542817,-0.0010378999748373,-0.000962562094185686,0.00173232860938136,0.0039783207649685,0.00132968077500774,0.00141928738974328,0.00305791024262683,0.0007944708063568,-0.00102228011388341,0.00018906392895805,0.000508875792604261
"T+21",-0.000445642811908948,0.000966158373345504,-0.000444769279929799,0.000564149472470739,0.00151049519471224,-0.000113335600321717,0.00305921294993009,0.00170592030946636,0.000753269044005678,0.000827932940577738,0.00120771123329603,0.000742951838270422,0.000596990289970378,0.00188601770877849,0.000473487879442529,0.000640938032927136,0.000730638026123476,-0.000320831118641951,0.00101916287786248,-4.12312369487734e-06,-0.000962540093361091,0.00173232769736591,0.00388184219542369,0.00132935862051282,0.00142000360242872,0.00305791024281221,0.00079447197844454,-0.00102228036963035,0.000189208042505399,0.000508874388111175
"T+22",-0.000445642811711981,0.000967790430212715,-0.000459351625397176,0.000563649889886938,0.00151049518686611,-0.000119563931005381,0.00295489257254625,0.0017059244419797,0.000753279259177456,0.000820503265250671,0.00120771081544518,0.00074298344733818,0.000714829598866588,0.00188893224908816,0.000473487882639157,0.000640938033129289,0.000718793905199227,-0.00010307600595094,-0.000254391299248039,-0.000935473158000132,-0.000962550681756775,0.00173232810575419,0.00378830336104246,0.00132909992082713,0.00142048414012885,0.00305791024291521,0.000794471402731524,-0.00102228047822174,0.000189298221685432,0.000508873665442032
"T+23",-0.000445642811666272,0.000968991388853072,-0.000448609192455462,0.000563956079927657,0.00151049518407293,-0.000124654302084365,0.00285581004420132,0.00170592687076915,0.000753285917268907,0.000826246051660927,0.00120771100007439,0.000742978778966061,0.000612928894573948,0.00189116451670725,0.000473487880626048,0.000640938033061974,0.00072783706458662,-0.00027325907100318,0.000839544882697131,-9.64014710670952e-05,-0.000962545585667433,0.00173232792288229,0.0036976146870843,0.00132889217724936,0.00142080655340907,0.00305791024293124,0.000794471685513662,-0.00102228052433016,0.000189354651387332,0.000508873293599198
"T+24",-0.000445642811666286,0.000969875121328837,-0.000456522862157323,0.000563768418579817,0.00151049518307857,-0.000128814626742419,0.00276170237636667,0.00170592829823379,0.00075329025691025,0.000821807150322442,0.00120771091849517,0.000742974556470044,0.000701046803891303,0.00189287422671081,0.000473487881108143,0.000640938033084389,0.000720932480245626,-0.000140255187546002,-0.000100106049847919,-0.000852337767711821,-0.000962548038309201,0.0017323280047701,0.00360968932818181,0.00132872535294885,0.00142102287425805,0.0030579102429277,0.000794471546615052,-0.00102228054390802,0.00018938996232336,0.00050887310227085
"T+25",-0.000445642811670289,0.00097052542106646,-0.00045069306843276,0.000563883434670447,0.00151049518272459,-0.000132214830969547,0.00267231978497329,0.00170592913719308,0.000753293085421561,0.000825238210383742,0.0012077109545413,0.000742980234931153,0.000624847468505331,0.00189418370603635,0.000473487880822382,0.000640938033076925,0.000726204231291361,-0.000244202269526563,0.000707019529875415,-0.000171299790285052,-0.000962546857887142,0.00173232796810167,0.00352444308517579,0.00132859138805069,0.00142116801316075,0.00305791024292533,0.000794471614840096,-0.00102228055222088,0.000189412058172908,0.000508873003824589
"T+26",-0.000445642811671796,0.000971003947951406,-0.000454987725166155,0.000563812942258152,0.00151049518259857,-0.000134993794088157,0.00258742502742567,0.00170592963027196,0.00075329492900162,0.000822586163796857,0.00120771093861416,0.000742975597136434,0.000690740301849259,0.00189518664577493,0.000473487880894684,0.000640938033079411,0.000722179172327133,-0.000162964071276871,1.37283523960729e-05,-0.000784860388917779,-0.000962547426002719,0.00173232798452136,0.00344179432448434,0.00132848381023448,0.0014212653930535,0.0030579102429249,0.000794471581328914,-0.00102228055575056,0.000189425884670367,0.00050887295316996
"T+27",-0.000445642811672013,0.000971356074772882,-0.000451823963748665,0.000563856146475613,0.00151049518255371,-0.000137265021196513,0.00250679277290363,0.00170592992006765,0.000753296130618674,0.000824636069940541,0.00120771094565164,0.000742978748214915,0.000633759942846155,0.00189595480461456,0.000473487880854032,0.000640938033078583,0.000725252363668429,-0.000226454500532887,0.000609239966506299,-0.000232091496914205,-0.000962547152577567,0.00173232797716882,0.00336166389992885,0.00132839742203354,0.00142133072938537,0.00305791024292496,0.000794471597789135,-0.00102228055724927,0.00018943453661342,0.000508872927106082
"T+28",-0.000445642811671963,0.000971615189364567,-0.000454154624131592,0.000563829666967455,0.00151049518253774,-0.000139121279217061,0.00243020900428094,0.00170593009038836,0.000753296913814142,0.000823051589781447,0.0012077109425421,0.000742976829909174,0.000683033303048716,0.00189654314305624,0.000473487880864825,0.000640938033078859,0.000722905937167717,-0.000176834559495747,9.77173998561077e-05,-0.000730091936720413,-0.00096254728417237,0.0017323279804612,0.00328397507694197,0.00132832804972684,0.00142137456632276,0.00305791024292501,0.000794471589704106,-0.00102228055788564,0.000189439950574462,0.000508872913695151
"T+29",-0.000445642811671925,0.000971805860360154,-0.000452437687516045,0.000563845896039372,0.00151049518253205,-0.000140638385906293,0.00235747045007308,0.00170593019049041,0.000753297424288872,0.000824276317743894,0.00120771094391606,0.000742977904150726,0.000640424515246606,0.0018969937557474,0.000473487880859031,0.000640938033078767,0.000724697468091726,-0.000215614239793718,0.00053709646483597,-0.000281433479931615,-0.000962547220837929,0.00173232797898691,0.00320865345908499,0.00132827234169165,0.00142140397839756,0.00305791024292503,0.000794471593675359,-0.00102228055815584,0.000189443338365387,0.000508872906794678
"T+30",-0.000445642811671915,0.000971946166733184,-0.000453702509865711,0.000563835949375192,0.00151049518253003,-0.000141878306585979,0.0022883840449065,0.00170593024932307,0.000753297757008429,0.000823329661155365,0.00120771094330897,0.000742977346478246,0.000677270161463989,0.00189733888328462,0.000473487880860636,0.000640938033078798,0.000723329608049775,-0.000185306593863885,0.000159686013510566,-0.000685638767233043,-0.000962547251319726,0.00173232797964708,0.00313562691680424,0.00132822760647479,0.00142142371221555,0.00305791024292502,0.000794471591724735,-0.00102228055827057,0.000189445458278565,0.000508872903244102
