"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","CSCO","TRV","UNH"
"T+11",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+12",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+13",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+14",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+15",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+16",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+17",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+18",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+19",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+20",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+21",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+22",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+23",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+24",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+25",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+26",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+27",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+28",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+29",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
"T+30",0.000859613077321296,-0.000515770038314636,0.0008684829179596,0.000700140127410835,-0.000567437372307641,0.000471845329413763,-0.000182373039523463,0.000258099498998037,0.00075080813839245,2.03452517196151e-06,0.00141951560005191,-0.000907930117513844,0.000186312405455863,0.000805615487672612,0.00103922509835601,0.000325524657025464,0.000727554253823804,0.000105719904955276,0.00112841147307525,0.000696053192214279,0.000945472618662745,0.0011768092702543,0.000862022559931173,0.00111612982063939,0.000880750532938682,0.00124915882412614,0.000533408727810331,0.000294280048128101,0.0015527134267017,-4.43616284352388e-05
