"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2011-03-01";"HD";"MCD";"VZ";"BA";"T";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-04-01";"AA";"HD";"VZ";"T";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-05-01";"AA";"VZ";"HD";"T";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-06-01";"MCD";"VZ";"T";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-07-01";"AXP";"VZ";"T";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-08-01";"AXP";"VZ";"T";"BA";"HD";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-09-01";"VZ";"AXP";"T";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-10-01";"VZ";"AXP";"T";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-11-01";"VZ";"T";"AXP";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2011-12-01";"VZ";"T";"AXP";"HD";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2012-01-01";"VZ";"T";"HD";"AXP";"BA";"RTX";"MMM";"DD";"TRV";"MDLZ"
"2012-02-01";"VZ";"AA";"HD";"AXP";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2012-03-01";"VZ";"HD";"AA";"BA";"AXP";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2012-04-01";"VZ";"HD";"AA";"AXP";"BA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2012-05-01";"VZ";"HD";"AXP";"BA";"AA";"RTX";"MMM";"DD";"MDLZ";"TRV"
"2012-06-01";"HD";"VZ";"AXP";"BA";"RTX";"AA";"MMM";"DD";"MDLZ";"TRV"
"2012-07-01";"HD";"VZ";"AXP";"BA";"RTX";"AA";"MMM";"DD";"MDLZ";"TRV"
"2012-08-01";"DIS";"VZ";"AXP";"BA";"RTX";"AA";"MMM";"DD";"MDLZ";"TRV"
"2012-09-01";"HPQ";"VZ";"AXP";"BA";"RTX";"AA";"DD";"MMM";"MDLZ";"TRV"
"2012-10-01";"VZ";"HPQ";"UNH";"AXP";"BA";"RTX";"AA";"DD";"MMM";"TRV"
"2012-11-01";"VZ";"HPQ";"UNH";"AXP";"BA";"RTX";"DD";"AA";"MMM";"TRV"
"2012-12-01";"VZ";"HPQ";"UNH";"BA";"AXP";"RTX";"DD";"AA";"MMM";"TRV"
"2013-01-01";"VZ";"HPQ";"UNH";"AXP";"BA";"RTX";"DD";"MMM";"AA";"TRV"
"2013-02-01";"VZ";"HPQ";"UNH";"BA";"AXP";"RTX";"DD";"MMM";"AA";"TRV"
"2013-03-01";"VZ";"HPQ";"UNH";"BA";"AXP";"RTX";"DD";"MMM";"AA";"TRV"
"2013-04-01";"VZ";"HPQ";"BA";"UNH";"AXP";"RTX";"DD";"MMM";"AA";"TRV"
"2013-05-01";"VZ";"HPQ";"BA";"UNH";"AXP";"RTX";"DD";"MMM";"AA";"TRV"
"2013-06-01";"VZ";"HPQ";"BA";"UNH";"AXP";"RTX";"DD";"MMM";"AA";"TRV"
"2013-07-01";"MCD";"BA";"HPQ";"UNH";"AXP";"RTX";"MMM";"DD";"AA";"TRV"
"2013-08-01";"MCD";"BA";"HPQ";"AXP";"UNH";"RTX";"MMM";"DD";"AA";"TRV"
"2013-09-01";"VZ";"MCD";"HPQ";"AXP";"UNH";"RTX";"MMM";"DD";"AA";"TRV"
"2013-10-01";"BA";"VZ";"MCD";"AXP";"UNH";"RTX";"MMM";"NKE";"DD";"TRV"
"2013-11-01";"CAT";"VZ";"MCD";"AXP";"UNH";"RTX";"NKE";"MMM";"DD";"TRV"
"2013-12-01";"CAT";"VZ";"MCD";"AXP";"UNH";"RTX";"NKE";"MMM";"DD";"TRV"
"2014-01-01";"VZ";"CAT";"MCD";"UNH";"AXP";"RTX";"MMM";"NKE";"DD";"TRV"
"2014-02-01";"VZ";"CAT";"MCD";"AXP";"UNH";"RTX";"DD";"MMM";"NKE";"TRV"
"2014-03-01";"WMT";"CAT";"MCD";"AXP";"UNH";"RTX";"DD";"MMM";"NKE";"TRV"
"2014-04-01";"WMT";"CAT";"MCD";"UNH";"AXP";"RTX";"DD";"MMM";"NKE";"TRV"
"2014-05-01";"WMT";"CAT";"MCD";"UNH";"AXP";"RTX";"DD";"MMM";"NKE";"TRV"
"2014-06-01";"WMT";"CAT";"MCD";"UNH";"AXP";"DD";"RTX";"MMM";"NKE";"TRV"
"2014-07-01";"WMT";"CAT";"MCD";"UNH";"DD";"AXP";"RTX";"MMM";"NKE";"TRV"
"2014-08-01";"WMT";"MCD";"CAT";"DD";"UNH";"RTX";"AXP";"MMM";"NKE";"TRV"
"2014-09-01";"WMT";"MCD";"CAT";"UNH";"RTX";"DD";"AXP";"MMM";"NKE";"TRV"
"2014-10-01";"MCD";"WMT";"CAT";"DD";"RTX";"UNH";"AXP";"MMM";"NKE";"TRV"
"2014-11-01";"MCD";"WMT";"CAT";"DD";"RTX";"UNH";"AXP";"MMM";"NKE";"TRV"
"2014-12-01";"WMT";"MCD";"CAT";"DD";"RTX";"UNH";"AXP";"MMM";"NKE";"TRV"
"2015-01-01";"MCD";"WMT";"CAT";"DD";"RTX";"UNH";"AXP";"MMM";"NKE";"TRV"
"2015-02-01";"MCD";"WMT";"CAT";"RTX";"DD";"UNH";"AXP";"MMM";"NKE";"TRV"
"2015-03-01";"WMT";"GS";"CAT";"RTX";"DD";"AXP";"UNH";"NKE";"MMM";"TRV"
"2015-04-01";"WMT";"GS";"CAT";"AXP";"RTX";"DD";"UNH";"NKE";"MMM";"TRV"
"2015-05-01";"WMT";"GS";"CAT";"AXP";"RTX";"DD";"UNH";"NKE";"MMM";"TRV"
"2015-06-01";"WMT";"GS";"AXP";"CAT";"RTX";"DD";"UNH";"NKE";"MMM";"TRV"
"2015-07-01";"WMT";"GS";"AXP";"CAT";"RTX";"UNH";"DD";"NKE";"MMM";"TRV"
"2015-08-01";"WMT";"GS";"AXP";"CAT";"UNH";"RTX";"DD";"NKE";"MMM";"TRV"
"2015-09-01";"HD";"GS";"AXP";"CAT";"UNH";"RTX";"DD";"NKE";"MMM";"TRV"
"2015-10-01";"HD";"GS";"AXP";"UNH";"CAT";"RTX";"DD";"NKE";"MMM";"TRV"
"2015-11-01";"KO";"GS";"AXP";"UNH";"DD";"CAT";"RTX";"NKE";"MMM";"TRV"
"2015-12-01";"GS";"KO";"AXP";"UNH";"CAT";"DD";"RTX";"NKE";"MMM";"TRV"
"2016-01-01";"GS";"KO";"AXP";"UNH";"DD";"RTX";"NKE";"CAT";"MMM";"TRV"
"2016-02-01";"IBM";"KO";"AXP";"UNH";"DD";"NKE";"RTX";"CAT";"MMM";"TRV"
"2016-03-01";"IBM";"KO";"NKE";"UNH";"RTX";"AXP";"DD";"CAT";"MMM";"TRV"
"2016-04-01";"IBM";"KO";"NKE";"UNH";"RTX";"DD";"AXP";"CAT";"MMM";"TRV"
"2016-05-01";"IBM";"NKE";"MRK";"RTX";"UNH";"DD";"AXP";"CAT";"MMM";"TRV"
"2016-06-01";"KO";"IBM";"MRK";"RTX";"UNH";"DD";"AXP";"CAT";"MMM";"TRV"
"2016-07-01";"KO";"IBM";"MRK";"RTX";"UNH";"DD";"CAT";"AXP";"MMM";"TRV"
"2016-08-01";"KO";"IBM";"MRK";"UNH";"RTX";"DD";"CAT";"AXP";"MMM";"TRV"
"2016-09-01";"KO";"MRK";"IBM";"UNH";"DD";"RTX";"CAT";"AXP";"MMM";"TRV"
"2016-10-01";"KO";"MRK";"IBM";"UNH";"RTX";"DD";"CAT";"AXP";"MMM";"TRV"
"2016-11-01";"KO";"MRK";"IBM";"UNH";"RTX";"CAT";"DD";"AXP";"MMM";"TRV"
"2016-12-01";"MRK";"KO";"IBM";"UNH";"RTX";"CAT";"DD";"AXP";"MMM";"TRV"
"2017-01-01";"MRK";"KO";"IBM";"UNH";"RTX";"CAT";"AXP";"DD";"MMM";"TRV"
"2017-02-01";"MRK";"KO";"IBM";"UNH";"CAT";"RTX";"DD";"AXP";"MMM";"TRV"
"2017-03-01";"BA";"KO";"UNH";"IBM";"CAT";"RTX";"DD";"AXP";"MMM";"TRV"
"2017-04-01";"MCD";"UNH";"KO";"IBM";"CAT";"DD";"RTX";"AXP";"MMM";"TRV"
"2017-05-01";"UNH";"MCD";"KO";"IBM";"CAT";"DD";"RTX";"AXP";"MMM";"TRV"
"2017-06-01";"BA";"IBM";"MCD";"KO";"CAT";"DD";"RTX";"AXP";"MMM";"TRV"
"2017-07-01";"BA";"IBM";"KO";"MCD";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2017-08-01";"NKE";"IBM";"KO";"MCD";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2017-09-01";"NKE";"IBM";"KO";"MCD";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2017-10-01";"NKE";"IBM";"KO";"MCD";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2017-11-01";"IBM";"NKE";"MCD";"KO";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2017-12-01";"NKE";"CVX";"MCD";"KO";"CAT";"DD";"RTX";"MMM";"AXP";"TRV"
"2018-01-01";"MRK";"CVX";"MCD";"KO";"CAT";"DD";"MMM";"RTX";"AXP";"TRV"
"2018-02-01";"NKE";"CVX";"CAT";"MCD";"KO";"DD";"MMM";"RTX";"AXP";"TRV"
"2018-03-01";"CVX";"NKE";"CAT";"MCD";"KO";"DD";"RTX";"MMM";"AXP";"TRV"
"2018-04-01";"MRK";"CVX";"MCD";"NKE";"DD";"KO";"RTX";"MMM";"AXP";"TRV"
"2018-05-01";"MRK";"CVX";"MCD";"NKE";"DD";"KO";"RTX";"MMM";"AXP";"TRV"
"2018-06-01";"CVX";"MRK";"MCD";"NKE";"DD";"KO";"MMM";"RTX";"AXP";"TRV"
"2018-07-01";"MCD";"MRK";"NKE";"DD";"KO";"RTX";"MMM";"WBA";"AXP";"TRV"
"2018-08-01";"MCD";"MRK";"DD";"NKE";"RTX";"MMM";"KO";"WBA";"AXP";"TRV"
"2018-09-01";"MRK";"MCD";"DD";"NKE";"RTX";"MMM";"KO";"WBA";"AXP";"TRV"
"2018-10-01";"MRK";"MCD";"NKE";"DD";"MMM";"RTX";"KO";"WBA";"AXP";"TRV"
"2018-11-01";"MRK";"MCD";"DD";"NKE";"RTX";"KO";"MMM";"WBA";"AXP";"TRV"
"2018-12-01";"MRK";"MCD";"DD";"NKE";"RTX";"KO";"MMM";"WBA";"AXP";"TRV"
"2019-01-01";"IBM";"MCD";"DD";"RTX";"NKE";"KO";"MMM";"WBA";"AXP";"TRV"
"2019-02-01";"MCD";"IBM";"DD";"RTX";"NKE";"KO";"MMM";"WBA";"AXP";"TRV"
"2019-03-01";"MCD";"IBM";"DD";"KO";"NKE";"RTX";"MMM";"WBA";"AXP";"TRV"
"2019-04-01";"MCD";"DD";"IBM";"KO";"NKE";"RTX";"MMM";"WBA";"AXP";"TRV"
"2019-05-01";"MCD";"IBM";"KO";"NKE";"RTX";"MMM";"WBA";"AXP";"DOW";"TRV"
"2019-06-01";"MCD";"KO";"NKE";"IBM";"RTX";"MMM";"WBA";"AXP";"DOW";"TRV"
"2019-07-01";"MCD";"KO";"NKE";"IBM";"RTX";"MMM";"WBA";"AXP";"DOW";"TRV"
"2019-08-01";"KO";"MCD";"NKE";"IBM";"RTX";"MMM";"AXP";"WBA";"DOW";"TRV"
"2019-09-01";"MCD";"GS";"NKE";"IBM";"RTX";"MMM";"AXP";"WBA";"DOW";"TRV"
"2019-10-01";"CAT";"GS";"NKE";"IBM";"RTX";"MMM";"AXP";"WBA";"DOW";"TRV"
"2019-11-01";"CAT";"GS";"NKE";"IBM";"RTX";"MMM";"AXP";"WBA";"DOW";"TRV"
"2019-12-01";"NKE";"CAT";"GS";"IBM";"MMM";"RTX";"AXP";"WBA";"DOW";"TRV"
"2020-01-01";"NKE";"CAT";"GS";"IBM";"MMM";"RTX";"AXP";"WBA";"DOW";"TRV"
"2020-02-01";"NKE";"GS";"CAT";"MMM";"IBM";"RTX";"AXP";"WBA";"DOW";"TRV"
"2020-03-01";"NKE";"GS";"CAT";"IBM";"MMM";"RTX";"AXP";"WBA";"DOW";"TRV"
"2020-04-01";"NKE";"GS";"IBM";"CAT";"MMM";"RTX";"AXP";"WBA";"DOW";"TRV"
"2020-05-01";"NKE";"GS";"RTX";"IBM";"CAT";"MMM";"AXP";"WBA";"DOW";"TRV"
"2020-06-01";"NKE";"GS";"RTX";"IBM";"CAT";"MMM";"AXP";"WBA";"DOW";"TRV"
"2020-07-01";"NKE";"GS";"RTX";"IBM";"CAT";"MMM";"AXP";"WBA";"TRV";"DOW"
"2020-08-01";"NKE";"GS";"RTX";"IBM";"AXP";"MMM";"CAT";"WBA";"TRV";"DOW"
"2020-09-01";"GS";"AMGN";"IBM";"HON";"AXP";"MMM";"CAT";"WBA";"TRV";"DOW"
"2020-10-01";"GS";"AMGN";"IBM";"HON";"AXP";"MMM";"CAT";"WBA";"DOW";"TRV"
"2020-11-01";"GS";"AMGN";"IBM";"HON";"AXP";"CAT";"MMM";"WBA";"DOW";"TRV"
"2020-12-01";"GS";"IBM";"AMGN";"HON";"AXP";"CAT";"MMM";"WBA";"DOW";"TRV"
"2021-01-01";"GS";"IBM";"AMGN";"HON";"AXP";"CAT";"MMM";"WBA";"DOW";"TRV"
"2021-02-01";"GS";"IBM";"AMGN";"HON";"AXP";"CAT";"MMM";"WBA";"DOW";"TRV"
"2021-03-01";"MCD";"IBM";"AMGN";"HON";"CAT";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-04-01";"MCD";"IBM";"AMGN";"CAT";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-05-01";"MCD";"IBM";"AMGN";"HON";"CAT";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-06-01";"MCD";"IBM";"AMGN";"CAT";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-07-01";"IBM";"MCD";"AMGN";"CAT";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-08-01";"IBM";"CAT";"MCD";"AMGN";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-09-01";"CAT";"IBM";"MCD";"AMGN";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-10-01";"CAT";"IBM";"MCD";"AMGN";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-11-01";"CAT";"IBM";"MCD";"HON";"AMGN";"AXP";"MMM";"WBA";"DOW";"TRV"
"2021-12-01";"CAT";"IBM";"MCD";"AMGN";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2022-01-01";"CAT";"IBM";"MCD";"AMGN";"HON";"AXP";"MMM";"WBA";"DOW";"TRV"
"2022-02-01";"CAT";"IBM";"MCD";"AMGN";"HON";"AXP";"MMM";"DOW";"WBA";"TRV"
"2022-03-01";"CAT";"IBM";"MCD";"HON";"AMGN";"AXP";"MMM";"DOW";"WBA";"TRV"
"2022-04-01";"CAT";"MCD";"IBM";"AXP";"HON";"AMGN";"MMM";"DOW";"WBA";"TRV"
"2022-05-01";"CAT";"MCD";"AXP";"IBM";"AMGN";"HON";"MMM";"DOW";"WBA";"TRV"
"2022-06-01";"CAT";"MCD";"AXP";"IBM";"AMGN";"HON";"MMM";"DOW";"WBA";"TRV"
"2022-07-01";"CAT";"MCD";"AMGN";"IBM";"AXP";"HON";"MMM";"DOW";"WBA";"TRV"
"2022-08-01";"MCD";"CAT";"AMGN";"IBM";"AXP";"HON";"MMM";"DOW";"WBA";"TRV"
"2022-09-01";"MCD";"AMGN";"CAT";"IBM";"AXP";"HON";"MMM";"DOW";"WBA";"TRV"
"2022-10-01";"MCD";"AMGN";"IBM";"CAT";"MMM";"AXP";"HON";"DOW";"WBA";"TRV"
"2022-11-01";"MCD";"AMGN";"IBM";"CAT";"MMM";"AXP";"HON";"DOW";"WBA";"TRV"
"2022-12-01";"MCD";"AMGN";"CAT";"IBM";"MMM";"HON";"AXP";"DOW";"WBA";"TRV"
