"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2009-09-01";"BAC";"JPM";"XOM";"GE";"MSFT";"WMT";"CSCO";"INTC";"PG";"CVX"
"2009-10-01";"BAC";"JPM";"XOM";"GE";"MSFT";"WMT";"CSCO";"INTC";"PG";"CVX"
"2009-11-01";"BAC";"JPM";"XOM";"GE";"MSFT";"WMT";"CSCO";"INTC";"PG";"IBM"
"2009-12-01";"BAC";"JPM";"XOM";"GE";"MSFT";"WMT";"INTC";"CSCO";"IBM";"PFE"
"2010-01-01";"BAC";"JPM";"XOM";"MSFT";"GE";"INTC";"WMT";"CSCO";"IBM";"PFE"
"2010-02-01";"BAC";"JPM";"XOM";"MSFT";"GE";"INTC";"CSCO";"WMT";"IBM";"PFE"
"2010-03-01";"BAC";"JPM";"MSFT";"XOM";"GE";"INTC";"CSCO";"WMT";"IBM";"PFE"
"2010-04-01";"BAC";"JPM";"MSFT";"XOM";"GE";"INTC";"CSCO";"WMT";"PFE";"IBM"
"2010-05-01";"BAC";"JPM";"MSFT";"XOM";"GE";"INTC";"CSCO";"WMT";"PFE";"IBM"
"2010-06-01";"BAC";"JPM";"MSFT";"XOM";"GE";"INTC";"CSCO";"WMT";"PFE";"IBM"
"2010-07-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"CSCO";"WMT";"PFE";"IBM"
"2010-08-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"CSCO";"WMT";"PFE";"IBM"
"2010-09-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"CSCO";"PFE";"WMT";"HPQ"
"2010-10-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"PFE";"HPQ";"WMT"
"2010-11-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"HPQ";"PFE";"IBM"
"2010-12-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-01-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-02-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-03-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-04-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-05-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-06-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-07-01";"BAC";"MSFT";"JPM";"CSCO";"XOM";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-08-01";"BAC";"MSFT";"JPM";"CSCO";"XOM";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-09-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"HPQ";"PFE";"IBM"
"2011-10-01";"BAC";"MSFT";"JPM";"XOM";"CSCO";"INTC";"GE";"IBM";"PFE";"HPQ"
"2011-11-01";"BAC";"MSFT";"XOM";"JPM";"CSCO";"INTC";"GE";"IBM";"PFE";"CAT"
"2011-12-01";"BAC";"MSFT";"XOM";"JPM";"INTC";"CSCO";"GE";"IBM";"PFE";"CAT"
"2012-01-01";"BAC";"MSFT";"XOM";"JPM";"INTC";"GE";"CSCO";"IBM";"PFE";"CAT"
"2012-02-01";"BAC";"MSFT";"XOM";"JPM";"INTC";"GE";"CSCO";"IBM";"PFE";"CAT"
"2012-03-01";"BAC";"MSFT";"XOM";"JPM";"INTC";"GE";"CSCO";"IBM";"CAT";"PFE"
"2012-04-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"CAT";"PFE"
"2012-05-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"CAT";"PFE"
"2012-06-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"CAT";"PFE"
"2012-07-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"JNJ";"CAT"
"2012-08-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"JNJ";"PFE"
"2012-09-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"IBM";"JNJ";"PFE"
"2012-10-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"CSCO";"JNJ";"IBM";"PFE"
"2012-11-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"JNJ";"CSCO";"PFE";"IBM"
"2012-12-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"JNJ";"CSCO";"IBM";"PFE"
"2013-01-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"JNJ";"CSCO";"PFE";"IBM"
"2013-02-01";"BAC";"MSFT";"JPM";"XOM";"INTC";"GE";"JNJ";"CSCO";"PFE";"IBM"
"2013-03-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"JNJ";"CSCO";"PFE";"IBM"
"2013-04-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"JNJ";"PFE";"CSCO";"PG"
"2013-05-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"JNJ";"PFE";"CSCO";"IBM"
"2013-06-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"JNJ";"PFE";"CSCO";"IBM"
"2013-07-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"PFE";"JNJ";"CSCO";"IBM"
"2013-08-01";"BAC";"MSFT";"JPM";"INTC";"XOM";"GE";"PFE";"JNJ";"CSCO";"IBM"
"2013-09-01";"BAC";"MSFT";"JPM";"XOM";"GE";"INTC";"PFE";"JNJ";"CSCO";"IBM"
"2013-10-01";"MSFT";"JPM";"XOM";"PFE";"GE";"INTC";"JNJ";"CSCO";"IBM";"PG"
"2013-11-01";"MSFT";"JPM";"XOM";"PFE";"GE";"INTC";"CSCO";"JNJ";"IBM";"V"
"2013-12-01";"MSFT";"JPM";"XOM";"GE";"PFE";"INTC";"CSCO";"JNJ";"IBM";"V"
"2014-01-01";"MSFT";"JPM";"XOM";"GE";"PFE";"INTC";"CSCO";"JNJ";"IBM";"V"
"2014-02-01";"MSFT";"JPM";"GE";"XOM";"PFE";"CSCO";"INTC";"JNJ";"V";"IBM"
"2014-03-01";"MSFT";"JPM";"XOM";"GE";"PFE";"CSCO";"INTC";"JNJ";"V";"IBM"
"2014-04-01";"MSFT";"JPM";"GE";"XOM";"PFE";"CSCO";"INTC";"VZ";"JNJ";"V"
"2014-05-01";"MSFT";"JPM";"XOM";"GE";"PFE";"CSCO";"V";"VZ";"INTC";"JNJ"
"2014-06-01";"MSFT";"JPM";"XOM";"GE";"PFE";"CSCO";"VZ";"V";"INTC";"JNJ"
"2014-07-01";"MSFT";"JPM";"XOM";"GE";"CSCO";"VZ";"V";"INTC";"PFE";"IBM"
"2014-08-01";"MSFT";"JPM";"XOM";"GE";"CSCO";"VZ";"INTC";"V";"IBM";"PFE"
"2014-09-01";"MSFT";"JPM";"GE";"XOM";"VZ";"INTC";"CSCO";"V";"IBM";"PFE"
"2014-10-01";"MSFT";"JPM";"XOM";"GE";"VZ";"INTC";"CSCO";"V";"IBM";"PFE"
"2014-11-01";"MSFT";"XOM";"JPM";"INTC";"GE";"VZ";"CSCO";"V";"IBM";"PFE"
"2014-12-01";"MSFT";"XOM";"INTC";"JPM";"GE";"VZ";"V";"CSCO";"JNJ";"PFE"
"2015-01-01";"MSFT";"XOM";"INTC";"JPM";"VZ";"GE";"V";"CSCO";"JNJ";"PFE"
"2015-02-01";"MSFT";"XOM";"INTC";"JPM";"VZ";"GE";"JNJ";"V";"CSCO";"PFE"
"2015-03-01";"MSFT";"XOM";"INTC";"JPM";"GE";"JNJ";"V";"PFE";"CSCO";"VZ"
"2015-04-01";"AAPL";"MSFT";"INTC";"XOM";"JPM";"GE";"JNJ";"V";"PFE";"CSCO"
"2015-05-01";"AAPL";"MSFT";"INTC";"XOM";"GE";"JPM";"JNJ";"PFE";"V";"CSCO"
"2015-06-01";"AAPL";"MSFT";"INTC";"XOM";"GE";"JPM";"JNJ";"PFE";"V";"CVX"
"2015-07-01";"AAPL";"MSFT";"INTC";"GE";"XOM";"JPM";"JNJ";"PFE";"DIS";"CSCO"
"2015-08-01";"AAPL";"MSFT";"INTC";"XOM";"GE";"JPM";"JNJ";"PFE";"DIS";"CVX"
"2015-09-01";"AAPL";"MSFT";"XOM";"GE";"INTC";"JPM";"DIS";"JNJ";"PFE";"CVX"
"2015-10-01";"AAPL";"MSFT";"GE";"XOM";"INTC";"JPM";"DIS";"JNJ";"PFE";"CVX"
"2015-11-01";"AAPL";"MSFT";"GE";"XOM";"INTC";"JPM";"DIS";"JNJ";"PFE";"CVX"
"2015-12-01";"AAPL";"MSFT";"GE";"XOM";"JPM";"DIS";"INTC";"PFE";"JNJ";"CVX"
"2016-01-01";"AAPL";"MSFT";"GE";"DIS";"JPM";"XOM";"INTC";"PFE";"JNJ";"CVX"
"2016-02-01";"AAPL";"MSFT";"GE";"DIS";"XOM";"JPM";"INTC";"PFE";"JNJ";"CVX"
"2016-03-01";"AAPL";"MSFT";"GE";"DIS";"JPM";"XOM";"INTC";"PFE";"JNJ";"CVX"
"2016-04-01";"AAPL";"MSFT";"GE";"DIS";"JPM";"XOM";"PFE";"INTC";"JNJ";"CVX"
"2016-05-01";"AAPL";"MSFT";"GE";"DIS";"JPM";"PFE";"XOM";"INTC";"JNJ";"CVX"
"2016-06-01";"AAPL";"MSFT";"GE";"DIS";"PFE";"JPM";"XOM";"INTC";"JNJ";"CVX"
"2016-07-01";"AAPL";"MSFT";"GE";"DIS";"PFE";"JPM";"XOM";"JNJ";"INTC";"V"
"2016-08-01";"AAPL";"MSFT";"GE";"DIS";"PFE";"JPM";"XOM";"JNJ";"V";"INTC"
"2016-09-01";"AAPL";"MSFT";"GE";"PFE";"JPM";"DIS";"XOM";"JNJ";"V";"INTC"
"2016-10-01";"AAPL";"MSFT";"GE";"PFE";"JPM";"XOM";"DIS";"PG";"JNJ";"V"
"2016-11-01";"AAPL";"MSFT";"GE";"JPM";"PG";"PFE";"DIS";"XOM";"JNJ";"V"
"2016-12-01";"AAPL";"MSFT";"GE";"JPM";"PG";"PFE";"XOM";"DIS";"JNJ";"V"
"2017-01-01";"AAPL";"MSFT";"GE";"JPM";"PG";"PFE";"XOM";"DIS";"JNJ";"V"
"2017-02-01";"AAPL";"MSFT";"JPM";"GE";"PG";"PFE";"XOM";"DIS";"JNJ";"V"
"2017-03-01";"AAPL";"MSFT";"JPM";"GE";"PG";"PFE";"XOM";"DIS";"JNJ";"V"
"2017-04-01";"AAPL";"MSFT";"JPM";"GE";"PG";"XOM";"DIS";"PFE";"JNJ";"V"
"2017-05-01";"AAPL";"MSFT";"JPM";"GE";"PG";"XOM";"DIS";"V";"JNJ";"INTC"
"2017-06-01";"AAPL";"MSFT";"JPM";"GE";"PG";"XOM";"DIS";"V";"JNJ";"INTC"
"2017-07-01";"AAPL";"MSFT";"JPM";"GE";"PG";"XOM";"DIS";"V";"JNJ";"INTC"
"2017-08-01";"AAPL";"MSFT";"JPM";"GE";"PG";"DIS";"XOM";"V";"GS";"JNJ"
"2017-09-01";"AAPL";"MSFT";"JPM";"GE";"PG";"V";"DIS";"XOM";"GS";"INTC"
"2017-10-01";"AAPL";"MSFT";"JPM";"GE";"DIS";"V";"GS";"XOM";"INTC";"JNJ"
"2017-11-01";"AAPL";"MSFT";"JPM";"GE";"DIS";"V";"GS";"INTC";"XOM";"JNJ"
"2017-12-01";"AAPL";"MSFT";"JPM";"GE";"DIS";"INTC";"V";"GS";"XOM";"JNJ"
"2018-01-01";"AAPL";"MSFT";"JPM";"GE";"INTC";"DIS";"V";"XOM";"GS";"BA"
"2018-02-01";"AAPL";"MSFT";"GE";"JPM";"INTC";"BA";"DIS";"V";"JNJ";"GS"
"2018-03-01";"AAPL";"MSFT";"GE";"JPM";"INTC";"BA";"DIS";"V";"WMT";"JNJ"
"2018-04-01";"AAPL";"MSFT";"GE";"JPM";"BA";"INTC";"V";"DIS";"WMT";"XOM"
"2018-05-01";"AAPL";"MSFT";"JPM";"GE";"BA";"INTC";"V";"DIS";"WMT";"HD"
"2018-06-01";"AAPL";"MSFT";"JPM";"GE";"BA";"INTC";"V";"DIS";"WMT";"XOM"
"2018-07-01";"AAPL";"MSFT";"BA";"JPM";"INTC";"V";"DIS";"WMT";"CSCO";"HD"
"2018-08-01";"AAPL";"MSFT";"JPM";"BA";"INTC";"V";"DIS";"CSCO";"WMT";"HD"
"2018-09-01";"AAPL";"MSFT";"JPM";"BA";"INTC";"V";"DIS";"CSCO";"WMT";"JNJ"
"2018-10-01";"AAPL";"MSFT";"JPM";"BA";"INTC";"V";"DIS";"CSCO";"WMT";"JNJ"
"2018-11-01";"AAPL";"MSFT";"JPM";"BA";"INTC";"V";"CSCO";"DIS";"WMT";"HD"
"2018-12-01";"AAPL";"MSFT";"BA";"JPM";"INTC";"V";"CSCO";"DIS";"HD";"JNJ"
"2019-01-01";"AAPL";"MSFT";"BA";"JPM";"INTC";"V";"CSCO";"JNJ";"DIS";"XOM"
"2019-02-01";"AAPL";"MSFT";"JPM";"BA";"INTC";"V";"CSCO";"JNJ";"DIS";"XOM"
"2019-03-01";"AAPL";"MSFT";"BA";"JPM";"INTC";"V";"CSCO";"JNJ";"DIS";"XOM"
"2019-04-01";"AAPL";"MSFT";"BA";"JPM";"V";"INTC";"DIS";"CSCO";"JNJ";"HD"
"2019-05-01";"AAPL";"MSFT";"BA";"JPM";"V";"INTC";"DIS";"CSCO";"UNH";"JNJ"
"2019-06-01";"AAPL";"MSFT";"BA";"JPM";"V";"INTC";"DIS";"UNH";"CSCO";"JNJ"
"2019-07-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CSCO";"UNH";"JNJ"
"2019-08-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"UNH";"CSCO";"JNJ"
"2019-09-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"UNH";"CSCO";"JNJ"
"2019-10-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"UNH";"CSCO";"JNJ"
"2019-11-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"UNH";"INTC";"CSCO";"JNJ"
"2019-12-01";"AAPL";"MSFT";"BA";"DIS";"JPM";"V";"UNH";"INTC";"CSCO";"JNJ"
"2020-01-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"UNH";"INTC";"CSCO";"JNJ"
"2020-02-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"UNH";"INTC";"CSCO";"JNJ"
"2020-03-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"UNH";"INTC";"CSCO";"JNJ"
"2020-04-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"INTC";"UNH";"CSCO";"JNJ"
"2020-05-01";"AAPL";"MSFT";"BA";"V";"DIS";"JPM";"INTC";"UNH";"JNJ";"CSCO"
"2020-06-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"INTC";"UNH";"JNJ";"HD"
"2020-07-01";"AAPL";"MSFT";"BA";"DIS";"V";"JPM";"INTC";"UNH";"JNJ";"HD"
"2020-08-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"UNH";"JNJ";"HD"
"2020-09-01";"AAPL";"MSFT";"BA";"V";"JPM";"DIS";"INTC";"CRM";"UNH";"JNJ"
"2020-10-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"UNH";"JNJ"
"2020-11-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"UNH";"HD"
"2020-12-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"UNH";"WMT"
"2021-01-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"UNH";"WMT"
"2021-02-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"WMT";"UNH"
"2021-03-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"INTC";"CRM";"WMT";"JNJ"
"2021-04-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"CRM";"INTC";"WMT";"JNJ"
"2021-05-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"INTC";"CRM";"WMT";"HD"
"2021-06-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"INTC";"CRM";"WMT";"HD"
"2021-07-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"CRM";"INTC";"WMT";"HD"
"2021-08-01";"AAPL";"MSFT";"BA";"JPM";"CRM";"V";"DIS";"INTC";"WMT";"HD"
"2021-09-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"INTC";"WMT";"HD"
"2021-10-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"INTC";"HD";"UNH"
"2021-11-01";"AAPL";"MSFT";"BA";"JPM";"DIS";"V";"CRM";"INTC";"UNH";"HD"
"2021-12-01";"AAPL";"MSFT";"BA";"V";"JPM";"DIS";"CRM";"INTC";"HD";"UNH"
"2022-01-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"INTC";"CRM";"HD";"UNH"
"2022-02-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"INTC";"HD";"UNH"
"2022-03-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"INTC";"HD";"UNH"
"2022-04-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"INTC";"CVX";"HD"
"2022-05-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CRM";"CVX";"INTC";"UNH"
"2022-06-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CVX";"CRM";"INTC";"UNH"
"2022-07-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CVX";"CRM";"INTC";"UNH"
"2022-08-01";"AAPL";"MSFT";"BA";"JPM";"V";"DIS";"CVX";"INTC";"CRM";"UNH"
"2022-09-01";"AAPL";"MSFT";"JPM";"V";"BA";"CVX";"DIS";"INTC";"UNH";"CRM"
"2022-10-01";"AAPL";"MSFT";"JPM";"V";"CVX";"BA";"DIS";"INTC";"UNH";"CRM"
"2022-11-01";"AAPL";"MSFT";"JPM";"CVX";"V";"BA";"DIS";"INTC";"UNH";"CRM"
"2022-12-01";"AAPL";"MSFT";"JPM";"CVX";"V";"UNH";"BA";"INTC";"DIS";"CRM"
