"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"2009-08-01";"JNJ";"IBM";"PFE";"HPQ";"MCD";"AXP";"KO";"HD";"CAT";"DIS"
"2009-09-01";"JNJ";"IBM";"HPQ";"PFE";"MCD";"AXP";"KO";"HD";"CAT";"AA"
"2009-10-01";"JNJ";"IBM";"PFE";"HPQ";"MCD";"KO";"AXP";"CAT";"HD";"AA"
"2009-11-01";"CVX";"JNJ";"PFE";"HPQ";"MCD";"AXP";"KO";"CAT";"AA";"HD"
"2009-12-01";"JNJ";"CVX";"PG";"HPQ";"MCD";"AXP";"KO";"CAT";"MRK";"AA"
"2010-01-01";"JNJ";"HPQ";"CVX";"PG";"AXP";"MCD";"KO";"CAT";"AA";"MRK"
"2010-02-01";"JNJ";"HPQ";"PG";"CVX";"AXP";"AA";"MCD";"KO";"MRK";"CAT"
"2010-03-01";"JNJ";"HPQ";"PG";"CVX";"AA";"AXP";"MRK";"MCD";"KO";"CAT"
"2010-04-01";"HPQ";"JNJ";"PG";"CVX";"AA";"AXP";"KO";"CAT";"MRK";"MCD"
"2010-05-01";"HPQ";"JNJ";"PG";"CVX";"AA";"KO";"AXP";"MRK";"CAT";"MCD"
"2010-06-01";"HPQ";"JNJ";"PG";"CVX";"AA";"CAT";"MRK";"KO";"AXP";"MCD"
"2010-07-01";"HPQ";"JNJ";"PG";"CVX";"AA";"CAT";"MRK";"KO";"AXP";"HD"
"2010-08-01";"JNJ";"HPQ";"PG";"CVX";"AA";"CAT";"MRK";"KO";"HD";"AXP"
"2010-09-01";"IBM";"JNJ";"PG";"CVX";"AA";"CAT";"KO";"MRK";"HD";"AXP"
"2010-10-01";"IBM";"JNJ";"PG";"CVX";"CAT";"AA";"MRK";"KO";"HD";"AXP"
"2010-11-01";"WMT";"JNJ";"PG";"CVX";"CAT";"AA";"AXP";"KO";"MRK";"HD"
"2010-12-01";"WMT";"JNJ";"PG";"CVX";"CAT";"KO";"AA";"AXP";"HD";"DIS"
"2011-01-01";"WMT";"JNJ";"PG";"CVX";"CAT";"KO";"AXP";"AA";"HD";"DIS"
"2011-02-01";"WMT";"JNJ";"PG";"CVX";"CAT";"KO";"AXP";"HD";"AA";"MRK"
"2011-03-01";"WMT";"JNJ";"PG";"CVX";"CAT";"KO";"AXP";"DIS";"AA";"MRK"
"2011-04-01";"WMT";"JNJ";"PG";"CVX";"CAT";"KO";"AXP";"MRK";"DIS";"MCD"
"2011-05-01";"JNJ";"WMT";"PG";"CVX";"CAT";"KO";"AXP";"MRK";"DIS";"MCD"
"2011-06-01";"JNJ";"PG";"WMT";"CVX";"CAT";"KO";"MRK";"AA";"DIS";"AXP"
"2011-07-01";"JNJ";"CVX";"WMT";"PG";"CAT";"KO";"AA";"MCD";"DIS";"MRK"
"2011-08-01";"JNJ";"CAT";"CVX";"PG";"WMT";"KO";"AA";"MCD";"DIS";"MRK"
"2011-09-01";"JNJ";"CAT";"CVX";"WMT";"PG";"KO";"DIS";"MCD";"AA";"MRK"
"2011-10-01";"CAT";"JNJ";"CVX";"WMT";"PG";"KO";"MCD";"DIS";"AA";"MRK"
"2011-11-01";"JNJ";"HPQ";"CVX";"WMT";"PG";"KO";"MCD";"DIS";"MRK";"AA"
"2011-12-01";"JNJ";"CVX";"HPQ";"WMT";"PG";"KO";"MCD";"DIS";"MRK";"AA"
"2012-01-01";"CVX";"JNJ";"HPQ";"WMT";"PG";"KO";"MCD";"DIS";"MRK";"AA"
"2012-02-01";"CVX";"JNJ";"HPQ";"WMT";"PG";"KO";"MCD";"DIS";"MRK";"T"
"2012-03-01";"CVX";"JNJ";"PG";"WMT";"HPQ";"KO";"MCD";"DIS";"MRK";"T"
"2012-04-01";"JNJ";"CVX";"PG";"WMT";"HPQ";"KO";"MCD";"DIS";"MRK";"T"
"2012-05-01";"JNJ";"CVX";"PG";"WMT";"HPQ";"KO";"MCD";"DIS";"MRK";"T"
"2012-06-01";"JNJ";"CVX";"WMT";"PG";"KO";"HPQ";"MCD";"DIS";"MRK";"T"
"2012-07-01";"PFE";"CVX";"PG";"WMT";"KO";"MCD";"HPQ";"MRK";"DIS";"T"
"2012-08-01";"CAT";"CVX";"PG";"WMT";"MCD";"KO";"MRK";"T";"HD";"HPQ"
"2012-09-01";"CAT";"PG";"CVX";"WMT";"MCD";"KO";"MRK";"T";"HD";"DIS"
"2012-10-01";"CAT";"PG";"CVX";"WMT";"KO";"MCD";"MRK";"T";"HD";"DIS"
"2012-11-01";"PG";"CAT";"CVX";"WMT";"KO";"MCD";"MRK";"T";"HD";"DIS"
"2012-12-01";"PG";"CAT";"WMT";"CVX";"MCD";"T";"KO";"HD";"MRK";"DIS"
"2013-01-01";"PG";"CAT";"WMT";"CVX";"T";"MCD";"KO";"HD";"MRK";"DIS"
"2013-02-01";"PG";"WMT";"CAT";"CVX";"T";"KO";"MCD";"HD";"MRK";"DIS"
"2013-03-01";"PG";"WMT";"CAT";"CVX";"T";"KO";"MCD";"MRK";"HD";"DIS"
"2013-04-01";"IBM";"WMT";"CAT";"CVX";"MRK";"T";"KO";"HD";"MCD";"DIS"
"2013-05-01";"PG";"WMT";"CAT";"CVX";"T";"MRK";"KO";"HD";"DIS";"MCD"
"2013-06-01";"PG";"WMT";"MRK";"CVX";"CAT";"T";"KO";"DIS";"HD";"MCD"
"2013-07-01";"PG";"MRK";"WMT";"CVX";"CAT";"T";"KO";"DIS";"HD";"VZ"
"2013-08-01";"PG";"MRK";"WMT";"CVX";"CAT";"T";"KO";"DIS";"HD";"VZ"
"2013-09-01";"PG";"MRK";"CVX";"WMT";"CAT";"T";"DIS";"KO";"HD";"BA"
"2013-10-01";"V";"MRK";"GS";"WMT";"CVX";"DIS";"HD";"CAT";"T";"KO"
"2013-11-01";"MRK";"PG";"GS";"CVX";"WMT";"DIS";"T";"HD";"BA";"KO"
"2013-12-01";"MRK";"PG";"GS";"CVX";"WMT";"DIS";"BA";"HD";"KO";"T"
"2014-01-01";"PG";"MRK";"GS";"CVX";"DIS";"BA";"WMT";"KO";"HD";"T"
"2014-02-01";"MRK";"PG";"CVX";"GS";"DIS";"BA";"HD";"WMT";"KO";"T"
"2014-03-01";"VZ";"MRK";"PG";"CVX";"BA";"GS";"DIS";"HD";"KO";"T"
"2014-04-01";"IBM";"PG";"MRK";"CVX";"BA";"DIS";"GS";"HD";"T";"KO"
"2014-05-01";"IBM";"PG";"MRK";"CVX";"BA";"DIS";"GS";"HD";"KO";"T"
"2014-06-01";"IBM";"PG";"MRK";"BA";"CVX";"DIS";"GS";"T";"HD";"KO"
"2014-07-01";"JNJ";"PG";"CVX";"BA";"DIS";"MRK";"KO";"HD";"GS";"T"
"2014-08-01";"JNJ";"PG";"CVX";"DIS";"BA";"MRK";"KO";"T";"HD";"GS"
"2014-09-01";"JNJ";"PG";"BA";"DIS";"CVX";"MRK";"T";"KO";"HD";"GS"
"2014-10-01";"JNJ";"PG";"CVX";"BA";"DIS";"MRK";"HD";"KO";"T";"GS"
"2014-11-01";"JNJ";"PG";"CVX";"DIS";"BA";"KO";"MRK";"HD";"T";"GS"
"2014-12-01";"IBM";"PG";"CVX";"DIS";"BA";"KO";"MRK";"HD";"T";"GS"
"2015-01-01";"IBM";"CVX";"PG";"DIS";"BA";"KO";"MRK";"HD";"T";"GS"
"2015-02-01";"CVX";"IBM";"DIS";"PG";"BA";"KO";"HD";"MRK";"T";"GS"
"2015-03-01";"CVX";"IBM";"DIS";"PG";"BA";"KO";"HD";"MRK";"MCD";"T"
"2015-04-01";"CVX";"DIS";"IBM";"VZ";"PG";"BA";"KO";"MCD";"HD";"MRK"
"2015-05-01";"CVX";"DIS";"PG";"IBM";"VZ";"BA";"KO";"MCD";"MRK";"HD"
"2015-06-01";"CSCO";"DIS";"PG";"IBM";"VZ";"BA";"MCD";"KO";"MRK";"HD"
"2015-07-01";"V";"CVX";"PG";"VZ";"IBM";"BA";"MCD";"KO";"MRK";"HD"
"2015-08-01";"V";"CSCO";"PG";"VZ";"IBM";"MCD";"BA";"MRK";"KO";"HD"
"2015-09-01";"CSCO";"V";"PG";"VZ";"IBM";"MCD";"BA";"WMT";"MRK";"KO"
"2015-10-01";"V";"CSCO";"PG";"VZ";"IBM";"WMT";"BA";"MRK";"MCD";"KO"
"2015-11-01";"CSCO";"V";"PG";"WMT";"VZ";"MCD";"BA";"MRK";"IBM";"HD"
"2015-12-01";"CSCO";"V";"PG";"MCD";"WMT";"VZ";"BA";"MRK";"HD";"IBM"
"2016-01-01";"V";"CSCO";"PG";"WMT";"MCD";"VZ";"HD";"BA";"MRK";"IBM"
"2016-02-01";"V";"CSCO";"PG";"MCD";"WMT";"HD";"VZ";"BA";"MRK";"GS"
"2016-03-01";"V";"CSCO";"PG";"MCD";"WMT";"HD";"BA";"VZ";"GS";"MRK"
"2016-04-01";"V";"CSCO";"PG";"MCD";"WMT";"HD";"GS";"BA";"VZ";"MRK"
"2016-05-01";"V";"MCD";"PG";"CSCO";"WMT";"HD";"GS";"BA";"VZ";"KO"
"2016-06-01";"V";"MCD";"WMT";"PG";"CSCO";"HD";"GS";"BA";"VZ";"NKE"
"2016-07-01";"CVX";"MCD";"WMT";"CSCO";"PG";"HD";"BA";"NKE";"GS";"VZ"
"2016-08-01";"CVX";"MCD";"WMT";"CSCO";"PG";"HD";"BA";"NKE";"GS";"VZ"
"2016-09-01";"CVX";"MCD";"WMT";"CSCO";"PG";"HD";"NKE";"BA";"VZ";"GS"
"2016-10-01";"INTC";"CVX";"MCD";"WMT";"CSCO";"HD";"NKE";"VZ";"BA";"GS"
"2016-11-01";"INTC";"CVX";"MCD";"CSCO";"WMT";"HD";"NKE";"VZ";"BA";"GS"
"2016-12-01";"INTC";"CVX";"WMT";"MCD";"CSCO";"HD";"VZ";"NKE";"BA";"GS"
"2017-01-01";"INTC";"CVX";"CSCO";"WMT";"HD";"GS";"MCD";"VZ";"BA";"NKE"
"2017-02-01";"INTC";"GS";"CVX";"WMT";"CSCO";"VZ";"HD";"MCD";"BA";"NKE"
"2017-03-01";"INTC";"GS";"CVX";"CSCO";"WMT";"VZ";"HD";"NKE";"MCD";"MRK"
"2017-04-01";"INTC";"GS";"CSCO";"CVX";"WMT";"VZ";"HD";"MRK";"NKE";"BA"
"2017-05-01";"PFE";"GS";"CSCO";"WMT";"VZ";"CVX";"HD";"MRK";"NKE";"BA"
"2017-06-01";"GS";"PFE";"CSCO";"VZ";"WMT";"CVX";"HD";"MRK";"NKE";"UNH"
"2017-07-01";"GS";"PFE";"CSCO";"WMT";"VZ";"HD";"CVX";"MRK";"UNH";"NKE"
"2017-08-01";"INTC";"PFE";"WMT";"CSCO";"HD";"VZ";"CVX";"MRK";"BA";"UNH"
"2017-09-01";"JNJ";"PFE";"HD";"WMT";"CSCO";"BA";"VZ";"CVX";"UNH";"MRK"
"2017-10-01";"PG";"PFE";"BA";"HD";"WMT";"CSCO";"VZ";"UNH";"CVX";"MRK"
"2017-11-01";"BA";"PFE";"WMT";"HD";"PG";"VZ";"CSCO";"UNH";"CVX";"MRK"
"2017-12-01";"BA";"WMT";"HD";"VZ";"PG";"CSCO";"PFE";"UNH";"IBM";"MRK"
"2018-01-01";"JNJ";"WMT";"HD";"VZ";"CSCO";"PG";"PFE";"UNH";"IBM";"NKE"
"2018-02-01";"XOM";"WMT";"HD";"CSCO";"VZ";"PG";"UNH";"PFE";"IBM";"MRK"
"2018-03-01";"XOM";"GS";"HD";"CSCO";"VZ";"UNH";"PG";"IBM";"PFE";"MRK"
"2018-04-01";"JNJ";"HD";"CSCO";"GS";"VZ";"UNH";"PG";"IBM";"PFE";"CAT"
"2018-05-01";"XOM";"CSCO";"JNJ";"GS";"UNH";"VZ";"PG";"IBM";"PFE";"CAT"
"2018-06-01";"HD";"CSCO";"JNJ";"GS";"UNH";"VZ";"PG";"PFE";"IBM";"CAT"
"2018-07-01";"XOM";"JNJ";"GS";"UNH";"VZ";"PG";"PFE";"CAT";"CVX";"IBM"
"2018-08-01";"JNJ";"XOM";"GS";"UNH";"VZ";"PG";"PFE";"CAT";"CVX";"IBM"
"2018-09-01";"HD";"XOM";"GS";"UNH";"VZ";"PFE";"CAT";"PG";"CVX";"IBM"
"2018-10-01";"HD";"XOM";"UNH";"GS";"VZ";"PFE";"CAT";"PG";"CVX";"IBM"
"2018-11-01";"XOM";"JNJ";"UNH";"GS";"PFE";"CAT";"VZ";"PG";"CVX";"IBM"
"2018-12-01";"XOM";"WMT";"UNH";"PFE";"CAT";"GS";"VZ";"PG";"CVX";"IBM"
"2019-01-01";"HD";"WMT";"UNH";"PFE";"CAT";"GS";"PG";"VZ";"CVX";"MRK"
"2019-02-01";"HD";"WMT";"PFE";"UNH";"PG";"VZ";"GS";"CAT";"CVX";"MRK"
"2019-03-01";"HD";"UNH";"PFE";"WMT";"PG";"VZ";"GS";"CAT";"MRK";"CVX"
"2019-04-01";"UNH";"XOM";"PFE";"WMT";"PG";"VZ";"MRK";"GS";"CVX";"CAT"
"2019-05-01";"PFE";"HD";"XOM";"PG";"WMT";"VZ";"MRK";"CVX";"GS";"CAT"
"2019-06-01";"PFE";"HD";"XOM";"PG";"VZ";"WMT";"MRK";"CVX";"GS";"CAT"
"2019-07-01";"PFE";"HD";"XOM";"PG";"MRK";"VZ";"WMT";"CVX";"CAT";"GS"
"2019-08-01";"PFE";"HD";"XOM";"PG";"MRK";"VZ";"WMT";"CVX";"CAT";"GS"
"2019-09-01";"PFE";"HD";"PG";"XOM";"MRK";"VZ";"WMT";"CVX";"KO";"CAT"
"2019-10-01";"PFE";"HD";"PG";"MRK";"XOM";"VZ";"WMT";"CVX";"KO";"MCD"
"2019-11-01";"PFE";"PG";"HD";"MRK";"XOM";"VZ";"CVX";"WMT";"MCD";"KO"
"2019-12-01";"PFE";"HD";"PG";"MRK";"XOM";"CVX";"VZ";"WMT";"MCD";"KO"
"2020-01-01";"PFE";"HD";"PG";"MRK";"XOM";"CVX";"VZ";"WMT";"MCD";"KO"
"2020-02-01";"HD";"PFE";"PG";"XOM";"MRK";"CVX";"VZ";"WMT";"MCD";"KO"
"2020-03-01";"HD";"PFE";"PG";"XOM";"MRK";"CVX";"VZ";"MCD";"WMT";"KO"
"2020-04-01";"HD";"PG";"XOM";"PFE";"MRK";"CVX";"VZ";"WMT";"MCD";"KO"
"2020-05-01";"HD";"XOM";"PG";"PFE";"MRK";"WMT";"CVX";"VZ";"MCD";"KO"
"2020-06-01";"CSCO";"PG";"XOM";"PFE";"WMT";"MRK";"MCD";"CVX";"VZ";"KO"
"2020-07-01";"CSCO";"XOM";"PG";"PFE";"WMT";"MRK";"VZ";"CVX";"MCD";"KO"
"2020-08-01";"CSCO";"XOM";"PG";"WMT";"PFE";"CVX";"VZ";"MRK";"MCD";"KO"
"2020-09-01";"HD";"CSCO";"WMT";"PG";"CVX";"VZ";"MRK";"MCD";"KO";"NKE"
"2020-10-01";"HD";"WMT";"CSCO";"PG";"CVX";"VZ";"MRK";"MCD";"KO";"NKE"
"2020-11-01";"WMT";"JNJ";"CSCO";"PG";"CVX";"VZ";"MRK";"KO";"MCD";"NKE"
"2020-12-01";"HD";"JNJ";"CSCO";"PG";"CVX";"VZ";"KO";"MRK";"NKE";"MCD"
"2021-01-01";"JNJ";"HD";"CSCO";"PG";"CVX";"VZ";"KO";"MRK";"NKE";"MCD"
"2021-02-01";"JNJ";"HD";"CSCO";"PG";"VZ";"CVX";"KO";"MRK";"NKE";"MCD"
"2021-03-01";"UNH";"HD";"CSCO";"PG";"VZ";"CVX";"KO";"NKE";"MRK";"GS"
"2021-04-01";"HD";"UNH";"CSCO";"PG";"CVX";"VZ";"KO";"NKE";"GS";"MRK"
"2021-05-01";"JNJ";"UNH";"CSCO";"PG";"VZ";"CVX";"NKE";"KO";"GS";"MRK"
"2021-06-01";"JNJ";"UNH";"CSCO";"PG";"CVX";"VZ";"NKE";"GS";"KO";"MRK"
"2021-07-01";"JNJ";"UNH";"PG";"CSCO";"CVX";"VZ";"NKE";"GS";"KO";"MRK"
"2021-08-01";"JNJ";"UNH";"PG";"CSCO";"CVX";"VZ";"NKE";"GS";"KO";"MRK"
"2021-09-01";"JNJ";"UNH";"PG";"CVX";"CSCO";"VZ";"NKE";"GS";"KO";"MRK"
"2021-10-01";"WMT";"JNJ";"PG";"CVX";"CSCO";"NKE";"VZ";"GS";"MRK";"KO"
"2021-11-01";"JNJ";"WMT";"PG";"CVX";"CSCO";"NKE";"GS";"VZ";"MRK";"KO"
"2021-12-01";"WMT";"JNJ";"CVX";"PG";"CSCO";"NKE";"GS";"MRK";"VZ";"KO"
"2022-01-01";"WMT";"JNJ";"PG";"CVX";"CSCO";"GS";"NKE";"VZ";"MRK";"KO"
"2022-02-01";"WMT";"JNJ";"CVX";"PG";"CSCO";"GS";"NKE";"MRK";"VZ";"KO"
"2022-03-01";"CVX";"WMT";"JNJ";"PG";"CSCO";"GS";"MRK";"NKE";"VZ";"KO"
"2022-04-01";"UNH";"JNJ";"WMT";"PG";"CSCO";"GS";"VZ";"NKE";"MRK";"KO"
"2022-05-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"GS";"MRK";"NKE";"KO"
"2022-06-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"MRK";"GS";"NKE";"KO"
"2022-07-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"MRK";"KO";"GS";"NKE"
"2022-08-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"MRK";"KO";"GS";"NKE"
"2022-09-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"MRK";"KO";"GS";"NKE"
"2022-10-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"MRK";"KO";"GS";"NKE"
"2022-11-01";"HD";"JNJ";"WMT";"PG";"CSCO";"VZ";"KO";"MRK";"NKE";"GS"
"2022-12-01";"HD";"JNJ";"WMT";"PG";"VZ";"CSCO";"KO";"MRK";"GS";"NKE"
