"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+11",0.00109074096408873,0.00105906944294975,0.00229828217505621,0.00267254818295984,0.000791387303658293,0.000523382860777903,-0.000999824095735938,0.00158370818518109,0.00016032140739036,-0.000122965816300611,0.00085315856852909,0.000973242162610832,0.00135999414579642,-0.000224126181199442,0.00140870297861676,0.000181410738960899,0.000374668606055933,0.00125083046294392,-4.42615624213784e-06,-1.62602173591498e-05,0.000872980378455272,0.00144727808407829,0.00110307846244565,0.00124941847278361,0.000573148589786273,0.00154803045462766,0.00186983847645743,0.000842914234988823,0.000593300890914304,0.001661448630397
"T+12",0.00138834182426634,0.00105907189351819,0.00229858325018411,0.0026313207609444,0.000791387300496742,0.000522218077197486,-0.000999529230824295,0.00158371538507237,0.00237882501771328,-0.000122965872891852,0.000997723916418056,0.000973260626406243,0.00135676436241487,-0.000224107018414877,0.00140870243599295,0.000182386656000688,0.000374667349923502,0.0012508304818529,-5.19120478639278e-06,-1.90142917429692e-05,0.00087528047228965,0.00144562884196885,0.0011030782379696,0.00134342730950932,0.00057330711217076,0.00141345180852496,0.00186849776749325,0.000842914236913868,0.000594685900038651,0.00166144235063313
"T+13",0.00115479609109458,0.0010590535434877,0.00229855751331688,0.00260077269772321,0.000791387300554834,0.000522431106515719,-0.000999674660987568,0.00158369665462105,0.000281587402982266,-0.000122965884864078,0.000871661567921119,0.000973246352457221,0.00135472219649266,-0.000224082461208795,0.00140870252355411,0.000182917138308949,0.000374667224212777,0.00125083047962023,-5.72376648042252e-06,-1.78208542959018e-05,0.000873935100702169,0.00144582864729783,0.00110307818157053,0.00127660222548464,0.00057337195867361,0.00130390695699157,0.00186896986937629,0.000842914237459116,0.000594365629197104,0.00166144394753487
"T+14",0.00133807381902246,0.00105906006997218,0.00229852747656096,0.0025781376620856,0.000791387300623964,0.000522480361233616,-0.000999602932224102,0.00158370285028673,0.00226418756291729,-0.000122965887358665,0.000981589126223465,0.000973249544991754,0.00135343095148905,-0.000224094531372446,0.00140870254000083,0.000183205047856175,0.00037466731089284,0.00125083047978161,-6.09449061298328e-06,-1.83372473212823e-05,0.000874163325727659,0.00144606269767975,0.00110307816700852,0.00132410405625455,0.000573398485327958,0.00121473921125329,0.00186891987085483,0.000842914237450766,0.000594268124476038,0.00166144521199551
"T+15",0.00119424449232823,0.00105905965676304,0.00229854006631399,0.00256136590033411,0.000791387300609556,0.000522424054832291,-0.000999638309970757,0.00158370238746379,0.000389958640755548,-0.000122965887883012,0.000885731257332428,0.000973249768888397,0.00135261450771179,-0.000224091992163104,0.0014087025349628,0.000183361174225439,0.000374667313925365,0.00125083047978982,-6.3525572069633e-06,-1.81140143273665e-05,0.000874303063825675,0.00144598861708133,0.00110307816331063,0.00129033793445597,0.000573409336543445,0.00114215810160959,0.0018688709240282,0.000842914237438933,0.000594359080404308,0.00166144567514447
"T+16",0.00130711622776057,0.00105905909728569,0.00229853994715274,0.00254893861739307,0.000791387300610503,0.000522447331493763,-0.00099962086109127,0.00158370195656102,0.00216174002343368,-0.000122965887992673,0.000969320224196028,0.000973249396851047,0.00135209827691163,-0.000224091836781778,0.0014087025346502,0.000183445799115944,0.000374667308264678,0.00125083047978393,-6.53220120927953e-06,-1.82104602396812e-05,0.000874192088146277,0.00144596349796084,0.00110307816236205,0.00131434018790241,0.000573413775432553,0.00108307824674174,0.00186890716328302,0.000842914237438419,0.000594338667706979,0.00166144578912787
"T+17",0.00121853882180085,0.00105905934953733,0.00229853839359832,0.00253973043976779,0.000791387300610691,0.000522442753815811,-0.000999629467159175,0.0015837021600843,0.000486806278208971,-0.000122965888015674,0.000896429855756204,0.000973249503855698,0.00135177186834993,-0.000224092154652651,0.00140870253489066,0.000183491656797148,0.000374667308394434,0.00125083047978531,-6.65725407672154e-06,-1.81688068207801e-05,0.00087422025309127,0.00144598004750821,0.00110307816212021,0.00129727846627671,0.000573415591241714,0.00103498819592355,0.00186889445763909,0.000842914237438635,0.000594332017172899,0.00166144580473327
"T+18",0.00128805097040475,0.00105905931721802,0.00229853889163818,0.00253290750545617,0.000791387300610632,0.000522441941402055,-0.000999625222507717,0.00158370212698772,0.00207018619083226,-0.000122965888020491,0.000959990945343099,0.000973249501523729,0.00135156548285508,-0.000224092038708357,0.00140870253488532,0.000183516503418491,0.000374667308745476,0.00125083047978508,-6.74430524154663e-06,-1.81867921254247e-05,0.000874227212356736,0.00144598122090075,0.00110307816205833,0.00130940659189135,0.00057341633403182,0.000995843668692252,0.00186889577747291,0.000842914237438658,0.000594337988164107,0.00166144580272742
"T+19",0.00123350050405074,0.00105905930164694,0.00229853893307988,0.00252785195217351,0.000791387300610638,0.000522443019447852,-0.000999627316038205,0.00158370211941906,0.000573355671507699,-0.0001229658880215,0.000904565075012801,0.000973249492430539,0.00135143498697512,-0.000224092054911932,0.00140870253487542,0.000183529964830694,0.000374667308717306,0.00125083047978511,-6.80490285479943e-06,-1.81790274686285e-05,0.00087421854707829,0.00144597830954673,0.00110307816204253,0.0013007854553993,0.000573416637883762,0.000963980653659159,0.00186889710953117,0.000842914237438655,0.000594336688721563,0.00166144580050704
"T+20",0.00127630961640312,0.0010590593109402,0.00229853885727326,0.00252410596579487,0.000791387300610638,0.000522442555459429,-0.000999626283475231,0.00158370212541683,0.00198836768834543,-0.000122965888021712,0.000952896957330067,0.000973249495767497,0.00135135247548516,-0.000224092059790734,0.00140870253487642,0.000183537257667523,0.00037466730869668,0.00125083047978511,-6.84708575653676e-06,-1.81823793397154e-05,0.000874221484579436,0.00144597863332413,0.00110307816203849,0.00130691368961917,0.000573416762179983,0.000938044672340492,0.00186889613001329,0.000842914237438655,0.000594336235948158,0.00166144579962836
