"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+21",0.000620646444763188,0.00105323769288345,0.0031164033392509,0.00237188257403026,0.000419852372189719,9.81326400527409e-05,-0.00224767917850511,0.00079917327929262,0.0018199276927641,-0.000475176288489677,0.00205654222193205,0.000792691211089737,0.00136353334542246,-0.00238129230841724,0.00149843510119694,0.000719207897029033,-0.000295860724447441,0.000928250961753702,0.000215949784261635,-0.000534401871293741,-8.8909704203548e-05,0.00104495568289386,-9.70213892752566e-07,0.00125751997044324,0.000854770604263907,-0.00010394961752275,0.00106418049203933,0.000990769122126812,0.000575715239492342,0.00094926283851715
"T+22",0.000522909805613208,0.00105323777111946,0.00428691226402781,0.00237188263738258,0.00041985237218974,0.000103560640539572,-0.00224767917845419,0.000799173279309529,0.00181992384078052,-0.000475176288489688,0.00197788327594684,0.000792691210501268,0.00136353340321864,0.00238611333041056,0.00149843509180082,0.000719207896923445,-0.000384393971034184,0.000928250961756726,0.000217377157587302,-0.000534401801650932,-8.89096956565791e-05,0.00104534918955084,2.69582807927319e-05,0.00181060137734315,0.000854770266550692,-0.000103949637484293,0.00106418048254477,0.000990769122119289,0.000575714537494392,0.000949262838854693
"T+23",0.000615975169511122,0.00105323776982192,0.00311851304030326,0.00237188263740736,0.000419852372189763,9.90993658099033e-05,-0.00224767917852501,0.000799173279307525,0.0018199259190793,-0.000475176288488943,0.00190349318060208,0.000792691210763586,0.00136353344038501,-0.00246307754878184,0.00149843509845192,0.000719207896969078,-0.000305377990194725,0.000928250961756432,0.000218471529409414,-0.000534401847413795,-8.89097003926263e-05,0.0010450650296817,3.90240645512476e-06,0.0012970579601541,0.000854770450004921,-0.000103949633780152,0.00106418046964867,0.0009907691221188,0.000575714744115379,0.000949262837875917
"T+24",0.000527357819530831,0.00105323775793888,0.00428480636545695,0.00237188262821942,0.000419852372189764,0.000102766088438589,-0.00224767917850481,0.000799173279306881,0.00181992479775422,-0.000475176288489104,0.00183314026376486,0.000792691210710099,0.00136353343511556,0.00246930160337785,0.00149843509783378,0.000719207896991655,-0.000375899805091736,0.00092825096175634,0.000219310587883812,-0.000534401825234676,-8.89096995937709e-05,0.00104527022781443,2.29357753300971e-05,0.00177388982983569,0.000854770350348015,-0.000103949632764191,0.00106418047958419,0.000990769122119337,0.000575714804294409,0.000949262837443178
"T+25",0.000611739746260775,0.00105323776025128,0.00312061514324613,0.00237188262582255,0.000419852372189763,9.97524083470439e-05,-0.00224767917850571,0.000799173279307202,0.00181992540275383,-0.00047517628848912,0.00176660542623619,0.000792691210706648,0.00136353342846761,-0.00254769292349284,0.00149843509704017,0.000719207896993511,-0.000312959038888089,0.000928250961756388,0.000219953896775027,-0.000534401834051627,-8.89096992890829e-05,0.00104512204969975,7.22311462480091e-06,0.0013311451186123,0.000854770404484129,-0.000103949633757527,0.0010641804753926,0.000990769122119445,0.00057571474575056,0.000949262837384808
"T+26",0.000531390812781707,0.00105323776168029,0.0042827080513009,0.00237188262653167,0.000419852372189763,0.000102229352641418,-0.00224767917850715,0.000799173279307159,0.00181992507633241,-0.000475176288489105,0.0017036814594132,0.000792691210713528,0.00136353342858385,0.0025553685618817,0.00149843509737012,0.000719207896991872,-0.000369133714144072,0.000928250961756378,0.000220447123817174,-0.000534401831187999,-8.89096995203804e-05,0.00104522905239699,2.01944234909051e-05,0.001742239451395,0.000854770375076043,-0.000103949633428966,0.00106418047639077,0.000990769122119415,0.000575714754370731,0.000949262837412379
"T+27",0.000607899507965752,0.00105323776106833,0.00312270967544419,0.00237188262706425,0.000419852372189763,0.000100193551610431,-0.00224767917850657,0.000799173279307148,0.00181992525244978,-0.000475176288489107,0.00164417239998196,0.000792691210710916,0.00136353342968063,-0.00263523636783028,0.00149843509738769,0.000719207896991246,-0.000318997779511418,0.000928250961756378,0.00022082528261216,-0.000534401831858489,-8.89096994663297e-05,0.0010451517833803,9.48618910236774e-06,0.00136053291450813,0.000854770391051248,-0.000103949633446559,0.00106418047646587,0.000990769122119403,0.00057571476229539,0.000949262837430328
"T+28",0.000535047508750479,0.00105323776095581,0.00428061729424431,0.00237188262710005,0.000419852372189763,0.00010186677690144,-0.00224767917850665,0.000799173279307154,0.00181992515742743,-0.000475176288489108,0.00158789291963146,0.000792691210711346,0.00136353342978424,0.00264441382129004,0.0014984350973338,0.000719207896991229,-0.000363744134163856,0.000928250961756379,0.000221115218203693,-0.000534401831830081,-8.89096994576054e-05,0.00104520758104797,1.83261824217383e-05,0.00171495249338173,0.000854770382373119,-0.000103949633483776,0.00106418047624645,0.000990769122119404,0.000575714758025927,0.000949262837434284
"T+29",0.000604417582006792,0.00105323776107055,0.00312479666416355,0.00237188262703209,0.000419852372189763,0.000100491552686569,-0.00224767917850667,0.000799173279307153,0.00181992520869578,-0.000475176288489108,0.00153466774788794,0.000792691210711425,0.00136353342961701,-0.002725809206072,0.00149843509734744,0.000719207896991285,-0.000323807983190465,0.000928250961756379,0.000221337512775054,-0.000534401831742935,-8.89096994683869e-05,0.0010451672883168,1.10284824414159e-05,0.00138586921670165,0.000854770387087295,-0.000103949633463753,0.00106418047637495,0.000990769122119405,0.000575714758000242,0.000949262837433757
"T+30",0.000538363017747458,0.00105323776106759,0.00427853406707021,0.00237188262700919,0.000419852372189763,0.000101621849754949,-0.00224767917850665,0.000799173279307153,0.00181992518103446,-0.000475176288489108,0.00148433112627232,0.000792691210711347,0.00136353342958143,0.00273654044410712,0.00149843509735127,0.000719207896991301,-0.000359451024214872,0.000928250961756379,0.000221507946753839,-0.000534401831811077,-8.89096994651367e-05,0.00104519638459005,1.70529694606651e-05,0.00169142740097206,0.000854770384526437,-0.000103949633468057,0.00106418047632976,0.000990769122119405,0.000575714758798982,0.000949262837433079
