"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+11",0.000292126908247632,-0.004368145783462,-0.00239059340891754,-0.000665281830489271,-0.00233489422503885,0.000665919461675536,-0.00472577660833341,-0.00138551541347978,-0.00170314233803011,0.00173160063550758,0.00258498316518743,0.000535391882920031,0.000552827788653264,0.000527112228510999,-5.53961864450262e-05,0.000118252298103644,-0.000649402963814543,0.00168079640653175,-0.000248356392653826,-0.000240562213442902,0.000660832723729027,-0.000440406118523772,-0.000586844120050719,0.000538480332527054,-0.000529278688955577,-0.000979223192959259,-0.00154303207907672,0.000866073374145589,0.000290254616494172,-0.000160201302565926
"T+12",0.000291527084457263,-0.00436804574914382,-0.0023906142990684,-0.000664988709534458,-0.00233509754435175,0.000665896798086593,-0.00472577657282931,-0.00138557312781744,-0.00170314274711687,0.0017319357580071,0.00258544775326601,0.000535261949500276,0.000552028686060557,0.000526488571591365,-5.52662289490016e-05,0.000118405782474396,-0.000649444854230411,0.00168080689982411,-0.000247676927216212,-0.000242685241212266,0.000660296377400437,-0.000444535000511368,-0.000586848287825576,0.000539949528861273,-0.00053398917398746,-0.00149882830031888,-0.00154276283560789,0.000869299977559838,0.000290353794348142,-0.000160199297736105
"T+13",0.000291413704145176,-0.00436802553200101,-0.00239061378082119,-0.000665113789010109,-0.00233500694123932,0.000665893514590686,-0.00472577657679188,-0.00138557043541186,-0.00170314263197004,0.0017318092992491,0.00258539117582765,0.000535719895625946,0.000551634914031155,0.000526590686357919,-5.51913686404493e-05,0.000118288368040272,-0.000649513363433585,0.00168081106439069,-0.000247719871745404,-0.000244333336041143,0.000660303375759872,-0.000444250984063527,-0.00058684943579718,0.000540184986069821,-0.000531064731063096,-0.00105139085449322,-0.00154283407560118,0.00086846412036413,0.000290383246442155,-0.000160198680582718
"T+14",0.000291527318777307,-0.00436802600707886,-0.00239061209402717,-0.000665060415566829,-0.002335017666179,0.000665895437680153,-0.00472577657724917,-0.00138556485771514,-0.00170314260230509,0.00173179039572974,0.00258533102546334,0.000535435913596319,0.000551440875853808,0.00052666438261856,-5.51482463430842e-05,0.000118255987910908,-0.000649483218073973,0.00168081271721955,-0.0002478196529858,-0.000243332904819979,0.000660386027404595,-0.000443349630155334,-0.000586849751992146,0.000539880543996621,-0.00052993980184633,-0.00143668396476365,-0.00154281858311354,0.000868346714154646,0.00029037003506957,-0.00016019849060235
"T+15",0.000291545741457213,-0.0043680289003473,-0.00239061200220035,-0.000665083190881571,-0.0023350233454037,0.000665895974259161,-0.00472577657706677,-0.00138556682689083,-0.00170314260946011,0.00173181276649808,0.0025853496511123,0.000535539998489744,0.000551345260087735,0.000526613547653235,-5.51234063101447e-05,0.000118274069314744,-0.000649484681600424,0.00168081337319256,-0.000247800919991969,-0.000243323388011502,0.000660355543777158,-0.000443335054752909,-0.000586849839084032,0.000539875804229973,-0.000530666292411496,-0.00110490399818548,-0.00154282038929041,0.000868591884079211,0.000290367445899349,-0.000160198432120066
"T+16",0.000291524290351788,-0.00436803061364116,-0.002390612127889,-0.000665073472285039,-0.00233502022206129,0.000665895838818626,-0.00472577657708006,-0.00138556685384949,-0.00170314261158827,0.00173181034778731,0.00258535553393959,0.000535524012974544,0.000551298143716895,0.000526621462035285,-5.51090975354706e-05,0.000118280534294784,-0.00064948825085558,0.00168081363353445,-0.000247787773438782,-0.00024353670424667,0.000660353257056629,-0.00044352545658176,-0.000586849863072366,0.000539933218733975,-0.000530934672732286,-0.00139060323154408,-0.00154282106405471,0.000868458046067223,0.000290369124712931,-0.000160198414117271
"T+17",0.000291521364534267,-0.00436803129204302,-0.00239061214500956,-0.000665077619367948,-0.00233502073065572,0.00066589577036297,-0.00472577657708345,-0.00138556662793758,-0.00170314261114915,0.00173180770838217,0.00258535174850139,0.000535514927746385,0.000551274926286419,0.000526627644513772,-5.51008551537808e-05,0.000118277830757572,-0.000649486777897198,0.00168081373685867,-0.000247792261851733,-0.000243466927054131,0.000660358908630838,-0.000443544388121302,-0.00058684986967964,0.000539926711722077,-0.000530754303638524,-0.00114458460424862,-0.00154282038067471,0.000868494352173329,0.000290369320894458,-0.000160198408575411
"T+18",0.000291525402137623,-0.00436803148760808,-0.00239061213645244,-0.000665075849740349,-0.00233502087744802,0.000665895776604194,-0.00472577657708256,-0.00138556669264905,-0.0017031426109979,0.00173180865722951,0.00258535150417583,0.00053552410433864,0.000551263485484247,0.000526623502750601,-5.5096107238081e-05,0.000118276589591869,-0.00064948681930624,0.00168081377786588,-0.000247793749023305,-0.000243445604035639,0.000660357263166091,-0.000443505485915079,-0.000586849871499528,0.000539916836732024,-0.000530690342043291,-0.00135643384257112,-0.00154282076432476,0.000868498170566011,0.000290369115632725,-0.000160198406869442
"T+19",0.000291525852543064,-0.00436803152023881,-0.00239061213443043,-0.000665076604869173,-0.00233502077255321,0.000665895784150623,-0.00472577657708259,-0.00138556669824928,-0.00170314261102446,0.00173180881689278,0.00258535211316808,0.000535519650691477,0.000551257847825312,0.000526624114023381,-5.50933722636111e-05,0.000118276978798703,-0.000649487004453657,0.00168081379414078,-0.000247792875191208,-0.000243467433583922,0.000660356950809471,-0.000443498226415533,-0.000586849872000792,0.000539919322121091,-0.000530735097580593,-0.00117400822597778,-0.00154282058646139,0.000868488345387886,0.000290369105510741,-0.000160198406344288
"T+20",0.000291525094838593,-0.00436803151508235,-0.00239061213494566,-0.000665076282643445,-0.00233502079422284,0.000665895784335321,-0.00472577657708262,-0.00138556668941269,-0.00170314261103512,0.00173180864496302,0.0025853520471626,0.000535520902368127,0.000551255069768513,0.00052662463212396,-5.50917968174946e-05,0.000118277209974777,-0.000649486932731078,0.00168081380059995,-0.000247792751343235,-0.000243464566783888,0.000660357323013008,-0.000443505892750941,-0.000586849872138859,0.000539920844683994,-0.000530750324291138,-0.00133109685113866,-0.00154282066068796,0.000868493888919964,0.000290369129764883,-0.000160198406182628
