"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+11",0.000724763383500328,0.00171263599115662,-0.00106946443387083,0.000981140501793692,0.00157360443571562,0.00135630036127394,8.82634820374026e-05,0.000641238017312534,0.000848693366040738,0.00110648111752115,0.00331458512677709,0.000584579129054959,0.00368262448321572,0.00106875126479014,0.000606349016875037,-0.000321694870250462,-0.00176530448703802,0.00120932503605216,-0.00025424375348078,0.00146554072012605,0.0025753454167715,0.000549039985697299,0.00121079390188797,0.00364513865670355,0.00101653355663886,-0.00319330865660719,0.000601619780366698,0.000407366504049131,0.000463369621420264,-5.69713343195902e-05
"T+12",0.000688802246086877,0.00172861974254628,-0.00102638231345079,0.000993497507486874,0.0015748763391958,0.00135637723990731,8.81700635625024e-05,0.000641237989366867,0.000849534627154465,0.00110659315598087,0.00323077581175672,0.000593256099197516,0.00354854788273533,0.0010688108094148,0.000606430681932233,-0.000321680771968669,-0.000848253741391155,0.00110845965086999,-0.000220675120606596,0.00147054311872484,0.00257563305426618,0.000552509642677203,0.0012131650011493,0.00371380632349765,0.000251102749515106,-0.00306925384309423,0.00102282393209629,0.000407419333135816,0.000471413091837765,-4.47385091256747e-05
"T+13",0.000657123225673584,0.00171975415896864,-0.00105104745595592,0.00098664595803226,0.00157429672404107,0.00135635093493291,8.81021341445634e-05,0.00064123793525059,0.000849165084401269,0.00110655370012315,0.00315084275121629,0.000588845798132691,0.0034274841232183,0.00106879027355733,0.000606402370702847,-0.00032167575314878,-0.00152884303176474,0.00101264266315185,-0.000239036778376765,0.0014680594429949,0.00257552399561799,0.000550727577552652,0.00121210266505175,0.00367188434671437,0.000823584143920555,-0.00295907078180936,0.000728781428763216,0.0004074430843918,0.000467522695387375,-5.15740305389771e-05
"T+14",0.000629216423465469,0.0017246714030898,-0.00103692631933536,0.000990444901722296,0.00157455662748447,0.00135635991308772,8.80789901344907e-05,0.000641237934906956,0.000849322583242182,0.00110656759503647,0.00307460666497926,0.000591087444785897,0.0033181697102196,0.00106879689717388,0.000606412185496798,-0.000321673971716568,-0.00102374379912956,0.000921621389563503,-0.000228994405741928,0.00146929226034189,0.00257556532968879,0.000551642569727081,0.00121257862804725,0.00369747793711096,0.000395420683932155,-0.00286120833979426,0.000934052403081397,0.000407453762641735,0.000469401502639522,-4.77532255531705e-05
"T+15",0.000604632657906909,0.00172194404988361,-0.00104501086899023,0.000988338518813594,0.00157443879395147,0.00135635684436606,8.80653486489007e-05,0.00064123793256159,0.000849253972604864,0.00110656270175502,0.00300189656473482,0.000589948070381377,0.00321946447357501,0.00106879462807763,0.000606408782953624,-0.000321673338542638,-0.00139860314501273,0.000835155801999354,-0.000234487101959098,0.00146868025874677,0.00257554966084023,0.000551172693978155,0.00121236538014992,0.00368185291368292,0.000715645535883282,-0.00277428883106508,0.000790752801285392,0.000407458563441357,0.000468493454891246,-4.98885830001483e-05
"T+16",0.000582976234333852,0.00172345677184241,-0.00104038235088024,0.000989506434999621,0.00157449181630473,0.00135635789239075,8.80600019171735e-05,0.000641237932584384,0.000849283390892587,0.00110656442499019,0.0029325493705318,0.000590527186483735,0.00313033874735195,0.00106879536436646,0.000606409962530099,-0.00032167311363421,-0.00112040132416421,0.000753017884632817,-0.000231482939669978,0.00146898405626504,0.00257555560002382,0.000551413969155232,0.00121246092256609,0.00369139207381418,0.000476148917901521,-0.00269708862185144,0.000890790207286455,0.000407460721817231,0.000468932149656463,-4.86950917487368e-05
"T+17",0.00056389857591437,0.0017226177417699,-0.00104303224251567,0.000988858865981226,0.00157446783469569,0.00135635753430258,8.80571775745379e-05,0.000641237932482131,0.000849270631416595,0.00110656381812964,0.00286640954501013,0.000590232835927774,0.00304986282918251,0.00106879511349716,0.000606409553600487,-0.000321673033721888,-0.00132686877491619,0.000674991034217782,-0.000233126049048332,0.00146883324780454,0.00257555334871298,0.000551290072285667,0.00121241811626344,0.00368556836568159,0.000655268603408394,-0.00262852090454878,0.000820954126223063,0.000407461692194414,0.00046872016500441,-4.93621316596424e-05
"T+18",0.000547092613030231,0.00172308310888535,-0.00104151514234336,0.000989217920535516,0.00157447864345524,0.0013563576566208,8.80559820943756e-05,0.000641237932484765,0.000849276119641515,0.00110656403184378,0.00280332874454932,0.000590382447114626,0.00297719723886823,0.00106879519529842,0.000606409695366138,-0.000321673005331991,-0.00117363897924875,0.000600869488636271,-0.000232227364806421,0.00146890811004841,0.00257555420207818,0.000551353693060657,0.00121243729496511,0.00368912377055444,0.000521304917223228,-0.00256762039787933,0.000869706672019947,0.000407462128463133,0.000468822588910857,-4.89893176324175e-05
"T+19",0.000532287840754049,0.00172282499346723,-0.00104238370349787,0.000989018837240976,0.00157447376017135,0.00135635761483203,8.80553865950605e-05,0.000641237932480281,0.00084927374471065,0.00110656395658146,0.00274316548655173,0.000590306403407648,0.00291158397075353,0.00106879516754929,0.000606409646219538,-0.000321672995245486,-0.00128735845514042,0.000530457784330467,-0.000232718893528133,0.00146887094780682,0.00257555387860455,0.000551321023587871,0.00121242870224445,0.00368695317691855,0.000621496398553729,-0.00251352975787414,0.000835672535430794,0.000407462324603766,0.000468773098476906,-4.91976845854288e-05
"T+20",0.000519245964863886,0.00172296815692187,-0.00104188644003934,0.000989129222021326,0.00157447596278922,0.00135635762910747,8.80551236679661e-05,0.000641237932480468,0.000849274767936002,0.00110656398308611,0.00268578483211419,0.000590345054563867,0.00285233858462243,0.00106879517663329,0.000606409663257433,-0.000321672991662005,-0.00120296155870361,0.000463570240845497,-0.000232450055837112,0.00146888939541686,0.00257555400121872,0.000551337799379178,0.00121243255208003,0.00368827833590906,0.000546563163612822,-0.00246548750837282,0.00085943175527105,0.000407462412785995,0.000468797011222092,-4.9081227127594e-05
