"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+11",0.00107109241461375,0.00120324104687128,0.00277981847327981,0.00244117631868031,0.000624397894861892,-6.22487156853049e-05,-0.00194888794477947,0.00110402421957919,0.000233637554971677,-0.000322368351830871,0.000337253564775956,0.00116991602450231,0.00099192181293075,0.000378447402153344,0.00159742541269973,0.000170516509994481,-0.000126442119398448,0.00114619239671203,0.000181130393878164,-0.000328138356313408,0.00225000457153516,0.00136554093202667,-0.00186388403552175,0.0024477584071858,0.000669403195359949,0.000378348581425171,0.00126242496531488,0.00108444637382119,0.000650967318778999,-0.00234167015345426
"T+12",0.000911519700645174,0.00120357224363246,0.00277973351601029,0.00245613056911156,0.000624394925374367,0.000266637015594649,-0.0019549179790576,0.00110395130702542,0.00242240976815025,-0.000322369212028184,0.000337253085993913,0.00118116838650269,0.000991957516879116,0.000378315660239527,0.00159797380649379,0.000181171717637323,0.000231566607622278,0.00122763805187779,0.000175995549999264,-0.000328079966394484,-0.000635279975577214,0.00138737409348998,-0.00170774988694542,0.00234389595512745,0.000669518855382877,0.000378334343934578,0.00126287713673539,0.00108445781806896,0.00065182129867289,0.00457183671534261
"T+13",0.00105717824012626,0.00120260653253165,0.00277978483437942,0.00246474748549003,0.000624395321091186,5.40296180403456e-06,-0.00195578311535331,0.00110401310502995,0.00029734914352208,-0.000322369791575538,0.000337253088900378,0.00119143779795719,0.000991948797260058,0.000378306332860977,0.00159809339872168,0.000191440676607923,-5.8178509223357e-05,0.00115930526176941,0.000172126776033683,-0.000328155190329941,0.00197046099517272,0.00137232579289614,-0.00156223426276075,0.0022498857132503,0.000669451757654818,0.000378279084407684,0.00126293628410028,0.00108444400138886,0.000652525402136281,-0.00239096947588185
"T+14",0.000924220608477866,0.00120258147773832,0.00277978583088045,0.002469711339518,0.000624395611420598,0.00021290126400854,-0.0019550962273721,0.00110400787670008,0.00236055272000893,-0.000322370000438551,0.000337253109409325,0.00120081012454984,0.000991948017660154,0.00037832949241473,0.00159797479007423,0.000201337362932045,0.000176319217786048,0.00121663637664851,0.000169211904160312,-0.000328112125660667,-0.000382820248245789,0.00138269769213498,-0.00142661500794148,0.00216479311816277,0.000669490689643527,0.000378303825372823,0.0012628318624078,0.00108444293522456,0.000652157846700784,0.00462148758485592
"T+15",0.001045584806392,0.00120275775584304,0.00277977934039424,0.00247257044971612,0.000624395641943912,4.80852884762598e-05,-0.00195436278039031,0.00110400209058787,0.000357405633900291,-0.000322370060784643,0.00033725310363365,0.00120936373116572,0.000991949035185424,0.000378319633133538,0.0015979915792074,0.000210875267722655,-1.34654611456541e-05,0.00116853565181652,0.000167015736042514,-0.000328130502242289,0.00174246107203508,0.00137554895841919,-0.00130021908048842,0.00208777225751874,0.000669468099137918,0.000378300260559522,0.00126289046255631,0.00108444428407898,0.000652141912091953,-0.00244097439931763
"T+16",0.000934803135924981,0.00120275590066578,0.00277978041245897,0.00247421716070034,0.000624395627521837,0.000178998676692249,-0.00195394399515184,0.00110400392984174,0.00230224437609463,-0.000322370075926777,0.00033725310431096,0.00121717013712222,0.000991948817033967,0.000378321112896162,0.00159800465743978,0.000220067396943344,0.000140131867137893,0.00120889209236895,0.000165361064890177,-0.000328124307401756,-0.000176910317579788,0.00138047615570123,-0.00118241921130312,0.00201805746073478,0.000669481207578301,0.000378298729096443,0.00126286802331476,0.00108444438319024,0.000652213161026193,0.00467184908692685
"T+17",0.00103592503779052,0.0012027239569522,0.00277978101283991,0.00247516556209241,0.000624395622448526,7.50141256871572e-05,-0.00195378207541335,0.00110400417910088,0.000414016717042482,-0.000322370079286699,0.000337253104381548,0.00122429461416383,0.000991948786187322,0.00037832179478063,0.00159799825007689,0.000228926285769046,1.58218364829218e-05,0.00117503309544624,0.000164114376806422,-0.000328125816098608,0.00155650092361309,0.00137708013145115,-0.00107263079121952,0.00195495568739716,0.000669473601204247,0.000378299801173474,0.00126287388572243,0.0010844442515255,0.000652194464014579,-0.00249169502273981
"T+18",0.000943620606978133,0.00120272545450293,0.00277978077058535,0.0024757117745563,0.000624395622447303,0.000157609091680177,-0.00195375005742674,0.00110400391915646,0.00224728114923224,-0.000322370079935233,0.000337253104331969,0.00123079673221907,0.000991948814869126,0.00037832125604497,0.00159799815119044,0.000237464015068822,0.000116428949211556,0.00120344074629254,0.000163175077673794,-0.00032812570690193,-8.96709750644565e-06,0.00137942080913198,-0.000970308969745383,0.0018978396376912,0.00066947801492419,0.000378299541509963,0.00126287339974634,0.00108444424233387,0.000652187250254083,0.00472293139254813
"T+19",0.00102787641892803,0.0012027312008903,0.00277978074138338,0.00247602635270716,0.00062439562280668,9.20038806998074e-05,-0.00195376162286322,0.00110400394757952,0.000467380054033198,-0.000322370080036204,0.000337253104342477,0.00123673085748292,0.000991948809529637,0.000378321419551711,0.0015979991542203,0.000245692227769818,3.50051809262301e-05,0.00117960676714521,0.000162467376307228,-0.000328125555556777,0.00140482904440702,0.00137780751911928,-0.000874945951115447,0.00184614151636332,0.000669475453792032,0.00037829951894233,0.00126287285306095,0.00108444425518428,0.000652192813693085,-0.00254314158966913
"T+20",0.000950967414833031,0.00120273072015096,0.00277978077653119,0.00247620752607866,0.000624395622879271,0.000144114123207111,-0.00195377792019725,0.00110400397052438,0.00219547113192895,-0.000322370080044979,0.000337253104341791,0.00124214660698915,0.000991948808429914,0.000378321416913157,0.00159799887355256,0.00025362214471471,0.000100903404838738,0.0011996034421631,0.000161934168932875,-0.000328125676243446,0.000128009905386888,0.00137891946404292,-0.000786068474237138,0.0017993473882226,0.000669476939930375,0.00037829955998689,0.00126287327654157,0.0010844442560345,0.000652192432536342,0.00477474481828572
