"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL"
"T+21",7.05660073817138e-05,-0.000815183596206583,0.000688272320657208,-0.00108250816656277,-0.000118583689960107,0.000532388653435357,-0.00029343355203496,-0.000110922201986267,0.0011773497525047,-0.000260149941920524,-0.000687591949532425,-7.72228070923451e-05,0.000851535398264205,0.000890246130216057,-0.000271257823987249,0.000686291975060534,0.000438966861197887,-0.00059661536321822,-0.000567830829308253,-0.000132067756660454,-0.00145397597207767,0.00122718186379483,-0.00111019656264871,-4.65721343118178e-05,0.000467053394872952,0.000599997164636486,0.00148569652271956,0.000261504245363616,0.000638240082096982,-9.7582786494909e-05
"T+22",6.99910941358079e-05,-0.000823117623088672,0.000688379959489906,-0.00106737063728597,-0.000103970793641425,0.000532388653435357,-0.000698589669390667,-0.000110922219785717,0.00117734975558229,-0.00026014995958514,-0.00061983331643886,-7.72229673548293e-05,0.000851535461958623,0.000890252026746317,-0.000274130007878748,0.000687030134933473,0.00043143770576932,-0.000596576074363188,-0.000568266011893167,-0.000132067704949585,-0.00145062444771258,0.00122718185891066,-0.00158159751378649,-1.36937549296187e-05,0.000467053394974487,0.000599228837680687,0.00148569622412082,0.000261505516481647,0.00063820896019584,-9.60932559718813e-05
"T+23",6.9528902420869e-05,-0.00083011758960675,0.000688315385097527,-0.00107933227728291,-9.03336862956868e-05,0.000532388653435357,-0.000302147618766843,-0.000110922212493092,0.00117734975660564,-0.000260149966942624,-0.000675073549457278,-7.72230392397918e-05,0.000851535438443437,0.000890255517271013,-0.000276738824950224,0.000686499714615977,0.000425126222242783,-0.000596599980573747,-0.000568620077995358,-0.000132067730520741,-0.00144761282412925,0.00122718185725926,-0.00112309933911306,-3.88977332583471e-05,0.000467053394933564,0.000598703941770135,0.00148569608280895,0.000261506349022417,0.000638190427394411,-9.48721449399724e-05
"T+24",6.915733126143e-05,-0.000836293461201643,0.000688354124389348,-0.00106988021751807,-7.7607208758072e-05,0.000532388653435357,-0.000690063024138444,-0.000110922215480958,0.00117734975680624,-0.000260149970007088,-0.000630038943465186,-7.72230714834442e-05,0.000851535442774044,0.00089025758353068,-0.000279108424798119,0.00068688085930228,0.000419835479518225,-0.000596585434288221,-0.000568908147438085,-0.00013206771787574,-0.00144490662968764,0.00122718185670091,-0.00156904790088722,-1.9576813689576e-05,0.000467053394947585,0.00059834535000808,0.0014856960159331,0.000261506894309413,0.00063817939128427,-9.38710831092832e-05
"T+25",6.88586129545795e-05,-0.000841742257257754,0.000688330884019977,-0.00107734921289169,-6.57305529241625e-05,0.000532388653435357,-0.000310490873586233,-0.000110922214256797,0.00117734975679057,-0.000260149971283466,-0.000666753410911173,-7.72230859461786e-05,0.000851535443854886,0.000890258806678884,-0.000281260742605503,0.000686606979763534,0.000415400395681,-0.000596594285311351,-0.000569142521763443,-0.000132067724128725,-0.0014424748887502,0.00122718185651212,-0.0011353054549329,-3.43878855018948e-05,0.000467053394943347,0.000598100371814825,0.0014856959842841,0.000261507251454576,0.000638172819383766,-9.30504167139463e-05
"T+26",6.86184634580944e-05,-0.00084654957522169,0.000688344826318432,-0.00107144723033137,-5.46469712040654e-05,0.000532388653435357,-0.000681899215404508,-0.000110922214758349,0.00117734975675507,-0.00026014997181509,-0.000636821937322191,-7.72230924333682e-05,0.000851535442498977,0.000890259530736733,-0.000283215702194185,0.000686803781672203,0.000411682587110964,-0.000596588899702062,-0.000569333209549926,-0.000132067721036608,-0.00144028976712851,0.00122718185644829,-0.00155717588024378,-2.30339824203751e-05,0.000467053394944476,0.000597933010705282,0.00148569596930621,0.000261507485372986,0.000638168905878402,-9.23776377588526e-05
"T+27",6.84253993594456e-05,-0.000850790935288829,0.0006883364620931,-0.00107611096305577,-4.43035053779926e-05,0.000532388653435357,-0.000318479095747372,-0.000110922214552858,0.00117734975673618,-0.000260149972036517,-0.000661223574429577,-7.72230953431657e-05,0.000851535443161787,0.000890259959351815,-0.000284991400457828,0.000686662365517374,0.000408566050632573,-0.000596592176700324,-0.00056948835381267,-0.000132067722565667,-0.00143832625348771,0.00122718185642671,-0.00114685252496228,-3.17376817081824e-05,0.000467053394944221,0.000597818675055177,0.00148569596221792,0.0002615076385819,0.000638166575422513,-9.18260963225407e-05
"T+28",6.82701887646592e-05,-0.000854532966782082,0.00068834147993615,-0.00107242569243656,-3.46507335577475e-05,0.000532388653435357,-0.000674082803313609,-0.00011092221463705,0.00117734975672969,-0.000260149972128743,-0.000641330137116829,-7.72230966483413e-05,0.000851535442969686,0.000890260213075864,-0.000286604274883346,0.000686763983072721,0.000405953543980288,-0.000596590182735104,-0.000569614579737813,-0.000132067721809544,-0.00143656187306177,0.00122718185641941,-0.00154594486656313,-2.50655813081112e-05,0.000467053394944263,0.000597740564669074,0.00148569595886339,0.000261507738928732,0.000638165187657799,-9.13739449083714e-05
"T+29",6.81454098497675e-05,-0.000857834454860159,0.000688338469645552,-0.0010753377846038,-2.56425340450805e-05,0.000532388653435357,-0.000326127393045859,-0.000110922214602556,0.00117734975672834,-0.000260149972167156,-0.000657548264055388,-7.72230972337715e-05,0.000851535442982355,0.000890260363270981,-0.000288069255711311,0.000686690963638929,0.000403763551642462,-0.000596591396009259,-0.000569717277600412,-0.000132067722183449,-0.00143497643040287,0.00122718185641695,-0.00115777613311343,-3.01802942912439e-05,0.000467053394944263,0.000597687202201537,0.00148569595727585,0.000261507804652627,0.000638164361256875,-9.10032730279368e-05
"T+30",6.80450959657637e-05,-0.000860747263998549,0.000688340275570806,-0.00107303665622905,-1.72358649586093e-05,0.000532388653435357,-0.000666599005007459,-0.000110922214616688,0.00117734975672839,-0.000260149972183156,-0.000644326434300173,-7.72230974963634e-05,0.000851535443005171,0.000890260452180856,-0.000289399904143918,0.00068674343329039,0.000401927741411876,-0.000596590657764599,-0.000569800832947465,-0.000132067721998552,-0.00143355177822034,0.00122718185641611,-0.00153532024990493,-2.62594466823639e-05,0.000467053394944259,0.000597650746704595,0.00148569595652455,0.000261507847699631,0.000638163869142844,-9.06993977360785e-05
