"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW"
"T+11",-0.00116142288987791,0.000832118166696222,-0.00181516703894052,-0.00031719124798392,0.000976327822241495,-0.00171236019963026,0.000743631445907181,0.000167239502498376,-0.000258779593598305,-0.000321080866395056,0.00020785558644176,0.000573783980800954,-0.000132565439403512,0.00276000112214345,-9.06560180614485e-05,0.000151830094086646,0.000726412481489789,0.00224562672465359,-0.000193120970475201,-0.000929338319284605,-0.0011206256238612,-0.000197332429637899,0.000230227837125578,0.000114617857975111,-0.00105616572828443,0.00169610766579429,0.0033833613137226,0.000486224918534794,-0.00134853444112478,-0.000285272622695453
"T+12",-0.00116142288987799,0.000857972505649252,-0.00181560462056831,-0.000272352692190718,0.000768131599683878,0.000461989692545657,0.000743630294766175,0.00017220455105443,-0.000226404334979399,0.000860649503515379,0.00036458301177109,0.000907817930486053,-0.000132565439419617,0.00260003691532587,-9.26914373554267e-05,0.00145077926075677,0.000731456703113513,0.00218149005190177,0.000718583335542989,-0.000917274405753926,-0.000643486276286327,-0.000257460150678743,0.000150713647892537,0.000114617734334736,-0.000878227813649524,0.00162426889369603,0.0033833582538471,0.000524817434541285,-0.00134916353525802,-0.000285272119064617
"T+13",-0.00116142288987799,0.000839101029816225,-0.00181536693725909,-0.000299543877423759,0.000948159894564747,-0.0015657440117378,0.000743630563517476,0.000174691565064366,-0.00020584557462456,-0.000105748420157475,0.000484594478399395,0.000651844789764856,-0.000132565439420558,0.00247238493497371,-9.17267620143989e-05,0.000290734549800733,0.000728722057043103,0.00211986013549462,-8.59561533471119e-05,-0.00090915961912258,-0.00108611291459766,-0.000216407308483085,0.000227710922409132,0.000114617711135797,-0.000733496296015136,0.00157661198528231,0.00338335756801997,0.000551413440914944,-0.00134947024703372,-0.000285272010546434
"T+14",-0.00116142288987799,0.000852875607490151,-0.0018154960408409,-0.000283054484728162,0.000792488544914088,0.000325259819008333,0.000743630500773415,0.000175937320995208,-0.000192790462623666,0.000684554487053065,0.000576491299214339,0.000847999249012017,-0.000132565439420613,0.0023705182210881,-9.21839643787178e-05,0.00132672869487325,0.000730204602753473,0.00206063899985746,0.000624015034581698,-0.000903701211127129,-0.00067550259302478,-0.000244436573906212,0.000153150893058794,0.000114617706782924,-0.00061577426785867,0.00154499701117826,0.00338335741430167,0.00056974206076727,-0.00134961978286371,-0.000285271987163839
"T+15",-0.00116142288987799,0.000842821333422038,-0.00181542591502983,-0.000293054051467872,0.000927098324549528,-0.00143823381940321,0.000743630515421966,0.000176561325457196,-0.000184500276522257,3.82589292442462e-05,0.00064685978910247,0.000697684369200255,-0.000132565439420617,0.00228922823742137,-9.19672759312697e-05,0.000401519641732529,0.000729400863722262,0.00200373249875195,-2.50373130811248e-06,-0.000900029615163077,-0.00105641241992859,-0.000225299294289475,0.000225350824960606,0.000114617705966185,-0.000520021275422842,0.0015240240479528,0.00338335737984792,0.000582373216775105,-0.00134969268832814,-0.000285271982125552
"T+16",-0.00116142288987799,0.000850160101218025,-0.0018154640056026,-0.000286990072228138,0.00081070058781657,0.000206347625728452,0.00074363051200204,0.000176873891955128,-0.000179235887707264,0.000566787856864825,0.000700743311135378,0.000812871977881404,-0.000132565439420617,0.00222435855435729,-9.2069974182464e-05,0.00122779051988854,0.000729836598300814,0.00194905016560806,0.000550371893345335,-0.000897559917600256,-0.000703054774957319,-0.000238365475853656,0.000155436284796833,0.000114617705812938,-0.000442137503761775,0.00151011085653254,0.00338335737212561,0.000591077969417679,-0.00134972823303166,-0.000285271981039944
"T+17",-0.00116142288987799,0.000844803422814537,-0.0018154433157637,-0.000290667415974832,0.00091135028171881,-0.00132733986299282,0.000743630512800474,0.000177030457847811,-0.000175892924201207,0.000134566369409713,0.000742003738228335,0.000724602704671079,-0.000132565439420617,0.002172592326945,-9.2021300933278e-05,0.000489877761932785,0.00072960037159591,0.00189650506970565,6.24831452695908e-05,-0.000895898676518307,-0.00103085315777818,-0.000229444401171817,0.000223137774224265,0.000114617705784184,-0.000378788236717004,0.00150088102604002,0.00338335737039477,0.000597076843829601,-0.00134974556267846,-0.000285271980806026
"T+18",-0.00116142288987799,0.000848713343977881,-0.00181545455396262,-0.000288437385742746,0.000824317997698925,0.000102931237306414,0.000743630512614067,0.000177108882371596,-0.000173770093727326,0.000488029357819726,0.000773598236502846,0.000792244221690905,-0.000132565439420617,0.00213128270164818,-9.20443693415398e-05,0.00114888106550928,0.000729728438219163,0.00184601367797721,0.000493023794711537,-0.000894781243366207,-0.000726765270310207,-0.000235535359964026,0.000157579284388589,0.000114617705778788,-0.000327261075801197,0.00149475807636245,0.00338335737000682,0.000601210964084094,-0.00134975401166321,-0.000285271980755623
"T+19",-0.00116142288987799,0.000845859432962127,-0.00181544844965627,-0.000289789730037589,0.000899575240597995,-0.00123089683092461,0.000743630512657587,0.000177148165550235,-0.000172422065484519,0.000198973658827639,0.000797791207626707,0.000740409934873551,-0.000132565439420617,0.0020983174803549,-9.20334362012906e-05,0.000560348953220231,0.000729659008897029,0.00179749572221193,0.000113090353833915,-0.000894029602401522,-0.00100885770319224,-0.000231376692950071,0.000221062608402329,0.000114617705777776,-0.000285349804591588,0.00149069619106732,0.00338335736991987,0.000604059990268846,-0.00134975813092452,-0.000285271980744763
"T+20",-0.00116142288987799,0.000847942546085276,-0.0018154517653616,-0.000288969635733269,0.000834499933514527,1.29913488957677e-05,0.000743630512647426,0.000177167842662055,-0.000171566047933535,0.000435358230506989,0.000816316580199949,0.000780131002765571,-0.000132565439420617,0.00207201112179788,-9.20386179006238e-05,0.00108594578303219,0.000729696648921022,0.00175087407145012,0.000448365129129142,-0.000893524011406005,-0.000747169737413969,-0.000234216067164041,0.000159588763627455,0.000114617705777586,-0.00025125992610448,0.00148800158911572,0.00338335736990038,0.000606023394742285,-0.00134976013925027,-0.000285271980742423
