"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT","WBA"
"T+11",-0.000626779778079656,0.000588228564965615,0.000372222931482778,-0.000789855517839707,0.000458998695249932,0.000313150717014128,0.000499212785526808,9.73612341672479e-05,-6.95919105270962e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933061,0.00121247563327777,0.00119809524661456,0.000996955346781406,0.000760059682417915,1.91993605472105e-05,0.000599230323853969,4.11202303924928e-05,0.000205749745675393,0.00146232959578236,-0.000655521661480938,0.00102511226167731,0.00119520579766682,-0.000942695978481322,0.000902790883494985,0.00144090434740656,-0.000758120761206002,-0.000138248276409004,0.000497819694895372
"T+12",-0.000626779778080001,0.000588228564965615,0.000372222931473842,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526792,9.73607186546519e-05,-6.95919104573429e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.00119809522098428,0.000996955346781406,0.000760059682418074,1.91993605469395e-05,0.000599230323853969,4.11202305405274e-05,0.000205749745675438,0.00146232959583133,-0.000655521661480938,0.00102511226167731,0.00119520580020721,-0.000942695978475084,0.000902790869871168,0.00144090434740656,-0.000758120761206646,-0.000138248276408923,0.000497819694865605
"T+13",-0.000626779778080023,0.000588228564965615,0.00037222293147459,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608299010793e-05,-6.9591910466358e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.00119809522492268,0.000996955346781406,0.000760059682418065,1.91993605469554e-05,0.000599230323853969,4.11202305256252e-05,0.000205749745675436,0.00146232959582681,-0.000655521661480938,0.00102511226167731,0.00119520579985514,-0.000942695978474629,0.00090279087184723,0.00144090434740656,-0.000758120761206613,-0.000138248276408927,0.000497819694862876
"T+14",-0.000626779778080024,0.000588228564965615,0.000372222931474528,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608058943572e-05,-6.95919104651929e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.0011980952243175,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305271254e-05,0.000205749745675436,0.00146232959582723,-0.000655521661480938,0.00102511226167731,0.00119520579990393,-0.000942695978474596,0.000902790871560613,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862626
"T+15",-0.000626779778080025,0.000588228564965615,0.000372222931474533,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608110749524e-05,-6.95919104653435e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.00119809522441049,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269744e-05,0.000205749745675436,0.00146232959582719,-0.000655521661480938,0.00102511226167731,0.00119520579989717,-0.000942695978474593,0.000902790871602186,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862603
"T+16",-0.000626779778080025,0.000588228564965615,0.000372222931474532,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608099569919e-05,-6.9591910465324e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.0011980952243962,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269896e-05,0.000205749745675436,0.0014623295958272,-0.000655521661480938,0.00102511226167731,0.00119520579989811,-0.000942695978474593,0.000902790871596156,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862601
"T+17",-0.000626779778080025,0.000588228564965615,0.000372222931474533,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608101982452e-05,-6.95919104653265e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.0011980952243984,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269881e-05,0.000205749745675436,0.0014623295958272,-0.000655521661480938,0.00102511226167731,0.00119520579989798,-0.000942695978474593,0.00090279087159703,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862601
"T+18",-0.000626779778080025,0.000588228564965615,0.000372222931474533,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608101461833e-05,-6.95919104653262e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.00119809522439806,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269882e-05,0.000205749745675436,0.0014623295958272,-0.000655521661480938,0.00102511226167731,0.00119520579989799,-0.000942695978474593,0.000902790871596903,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862601
"T+19",-0.000626779778080025,0.000588228564965615,0.000372222931474533,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608101574182e-05,-6.95919104653262e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.00119809522439811,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269882e-05,0.000205749745675436,0.0014623295958272,-0.000655521661480938,0.00102511226167731,0.00119520579989799,-0.000942695978474593,0.000902790871596922,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862601
"T+20",-0.000626779778080025,0.000588228564965615,0.000372222931474533,-0.000789855517839707,0.000458998695249928,0.000313150717014138,0.000499212785526791,9.73608101549937e-05,-6.95919104653262e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126933057,0.00121247563327777,0.0011980952243981,0.000996955346781406,0.000760059682418066,1.91993605469545e-05,0.000599230323853969,4.11202305269882e-05,0.000205749745675436,0.0014623295958272,-0.000655521661480938,0.00102511226167731,0.00119520579989799,-0.000942695978474593,0.000902790871596919,0.00144090434740656,-0.000758120761206615,-0.000138248276408927,0.000497819694862601
