"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL"
"T+11",0.000511813738260134,-0.000378657184982685,0.000519283342574789,-0.000522860146465098,0.000768140604721855,0.000762541282064609,-0.000507749319795215,-0.000187004962943857,0.00128650818575298,0.000988636881064147,6.27241314509853e-05,0.000487225637957756,0.000982719885786407,0.00015698460291181,0.000567165594862825,0.00104210766331739,0.00046093106748165,0.000186207564532835,-5.40604335531199e-05,0.000608067776500123,-0.000191966853706495,0.00118725392731838,-4.15055508074538e-05,0.00219386411516322,0.000767665366223017,0.0020121719335395,0.00197613762956772,0.00118538998586624,0.000456103046268455,0.00166823865867225
"T+12",0.000511813736056778,-0.000378657184982686,0.000519283342665993,-0.000522860146557161,0.000768140604721856,0.000762541282064609,-0.000507749319836682,-0.000187004962943846,0.00128650818575298,0.000988636880517652,6.27241314429291e-05,0.000487225530249879,0.000982719885786407,0.000156984602857549,0.000567165594862825,0.00104210766331823,0.000460931067483072,0.000186207563924867,-5.40604335842666e-05,0.000608067776500124,-0.00019196685370635,0.00118725392731838,-4.15055508074538e-05,0.00219386393781773,0.000767665360116627,0.00201217193346063,0.00197613762956604,0.00118538998586624,0.00045610304605409,0.00166823865867225
"T+13",0.000511813736368721,-0.000378657184982686,0.000519283342674565,-0.000522860146547754,0.000768140604721856,0.000762541282064609,-0.000507749319832654,-0.000187004962943846,0.00128650818575298,0.000988636880580064,6.27241314435323e-05,0.000487225549873001,0.000982719885786407,0.000156984602862967,0.000567165594862825,0.00104210766331829,0.000460931067483169,0.000186207564001147,-5.40604335815731e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386397232912,0.000767665360948874,0.00201217193346776,0.00197613762956616,0.00118538998586624,0.000456103046075496,0.00166823865867225
"T+14",0.000511813736324557,-0.000378657184982686,0.00051928334267537,-0.000522860146548715,0.000768140604721856,0.000762541282064609,-0.000507749319833045,-0.000187004962943846,0.00128650818575298,0.000988636880572936,6.27241314434872e-05,0.000487225546297896,0.000982719885786407,0.000156984602862426,0.000567165594862825,0.00104210766331829,0.000460931067483175,0.000186207563991577,-5.4060433581806e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396561321,0.000767665360835446,0.00201217193346712,0.00197613762956615,0.00118538998586624,0.000456103046073359,0.00166823865867225
"T+15",0.00051181373633081,-0.000378657184982686,0.000519283342675446,-0.000522860146548617,0.000768140604721856,0.000762541282064609,-0.000507749319833007,-0.000187004962943846,0.00128650818575298,0.00098863688057375,6.27241314434905e-05,0.000487225546949239,0.000982719885786407,0.00015698460286248,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992777,-5.40604335817859e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396692013,0.000767665360850905,0.00201217193346718,0.00197613762956615,0.00118538998586624,0.000456103046073572,0.00166823865867225
"T+16",0.000511813736329925,-0.000378657184982686,0.000519283342675453,-0.000522860146548627,0.000768140604721856,0.000762541282064609,-0.000507749319833011,-0.000187004962943846,0.00128650818575298,0.000988636880573657,6.27241314434903e-05,0.000487225546830572,0.000982719885786407,0.000156984602862475,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992627,-5.40604335817876e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.0021938639666658,0.000767665360848798,0.00201217193346717,0.00197613762956615,0.00118538998586624,0.000456103046073551,0.00166823865867225
"T+17",0.00051181373633005,-0.000378657184982686,0.000519283342675453,-0.000522860146548626,0.000768140604721856,0.000762541282064609,-0.00050774931983301,-0.000187004962943846,0.00128650818575298,0.000988636880573668,6.27241314434903e-05,0.000487225546852191,0.000982719885786407,0.000156984602862475,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992646,-5.40604335817875e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396671529,0.000767665360849085,0.00201217193346717,0.00197613762956615,0.00118538998586624,0.000456103046073553,0.00166823865867225
"T+18",0.000511813736330032,-0.000378657184982686,0.000519283342675454,-0.000522860146548626,0.000768140604721856,0.000762541282064609,-0.00050774931983301,-0.000187004962943846,0.00128650818575298,0.000988636880573667,6.27241314434903e-05,0.000487225546848253,0.000982719885786407,0.000156984602862475,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992643,-5.40604335817875e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396670566,0.000767665360849046,0.00201217193346717,0.00197613762956615,0.00118538998586624,0.000456103046073553,0.00166823865867225
"T+19",0.000511813736330035,-0.000378657184982686,0.000519283342675454,-0.000522860146548626,0.000768140604721856,0.000762541282064609,-0.00050774931983301,-0.000187004962943846,0.00128650818575298,0.000988636880573667,6.27241314434903e-05,0.00048722554684897,0.000982719885786407,0.000156984602862475,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992644,-5.40604335817875e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396670754,0.000767665360849052,0.00201217193346717,0.00197613762956615,0.00118538998586624,0.000456103046073553,0.00166823865867225
"T+20",0.000511813736330035,-0.000378657184982686,0.000519283342675454,-0.000522860146548626,0.000768140604721856,0.000762541282064609,-0.00050774931983301,-0.000187004962943846,0.00128650818575298,0.000988636880573667,6.27241314434903e-05,0.000487225546848839,0.000982719885786407,0.000156984602862475,0.000567165594862825,0.00104210766331829,0.000460931067483176,0.000186207563992644,-5.40604335817875e-05,0.000608067776500124,-0.000191966853706359,0.00118725392731838,-4.15055508074538e-05,0.00219386396670717,0.000767665360849051,0.00201217193346717,0.00197613762956615,0.00118538998586624,0.000456103046073553,0.00166823865867225
